순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791191061048,104663596,언젠가 우리가 같은 별을 바라본다면,"10,800원",600원,차인표 저,해결책,"차인표 작가가 전하는 감동의 휴먼 드라마 
자신을 대변할 수 없었던 이들을 위한 헌사 

『언젠가 우리가 같은 별을 바라본다면』은 고국을 떠나 70년 만에 필리핀의 한 작은 섬에서 발견된 쑤니 할머니의 젊은 시절을 담은 이야기이다. 작가는 우리나라가 일본에 주권을 빼앗긴 채 가난하고 핍박받던 시절을 맨몸으로 버텨 낸 우리 어머니의 어머니, 아버지의 아버지들의 이야기를 남기고자 집필을 시작했다. A4 용지 스무 장 분량으로 시작한 이야기는 10년의 집필 기간 동안 데이터 유실로 의지가 꺾이기도 하고 모든 것을 원점에서 복기하기를 반복하는 등 우여곡절을 겪은 후, 더욱 진정성과 사실에 근거한 서정적이고 아름다운 소설로 완성되었다. 

소설의 배경은 1930년대 백두산 기슭의 호랑이 마을. 엄마와 동생을 해친 호랑이 백호를 잡아 복수하기 위해 아버지와 함께 호랑이 마을로 찾아온 호랑이 사냥꾼 용이와 촌장 댁 손녀 순이 그리고 미술학도 출신의 일본군 장교 가즈오가 등장한다.",1,국내도서-청소년
2,9788925569154,89597280,이문열 삼국지 세트,"151,200원","8,400원",나관중 저/이문열 평역/정문 그림,알에이치코리아(RHK),"누적판매 2,000만 부
우리 시대를 대표하는 『이문열 삼국지』가 
현대적인 감각으로 다시 돌아왔다!

젊은 세대를 위해 내용을 손보고, 한자어 독음을 달아 읽기 쉬운 『삼국지』

1988년 출간된 이래 누적판매 2,000만 부라는 대기록을 세운『이문열 삼국지』가 출간 30여 년 만에 새롭게 출간된다. 나관중 판본을 기본으로 하여 우리 시대 대표 작가인 이문열의 글맛으로 살려낸 『이문열 삼국지』는 오랫동안 최고의 고전으로 사랑받아왔다. 무수한 평역본 중 특히 이 책이 한 세대를 넘어서까지 생명력을 가질 수 있었던 것은, 이문열 작가 특유의 날카로운 문장과 흡입력 있는 구성이 돋보였기 때문이다. 방대한 서사와 영웅호걸들의 이야기들을 지루하지 않게, 다음 권을 넘겨보게 만들어 삼국지를 처음 접한 이들도 충분히 재미있게 읽을 수 있었던 것.",1,국내도서-소설/시/희곡
3,9788936432911,96351710,황석영 정역 삼국지 세트,"86,400원","4,800원",나관중 저/황석영 역,창비,"우리 시대 최고의 작가 
황석영의 정역 『삼국지』 개정판 출간!
가장 믿을 만한 정본, 다시 찾는 동양 고전 필독서

우리 시대 최고의 작가 황석영이 우리말로 옮긴 정역 『삼국지』(개정판, 전6권)를 새로운 장정으로 다시 선보인다. 명실상부하게 가장 믿을 만한 원본, 정확하고 생동감 넘치는 글맛, 고전의 참맛을 느낄 수 있는 210수의 한시, 중국 인물화의 대가 왕훙시(王宏喜)가 그린 컬러삽화 150여장 수록 등을 특장으로 꼽는 황석영의 『삼국지』는 2003년 초판 1쇄 발행 이후 누적 판매부수 200만부 이상을 기록하며 오랫동안 독자들의 신뢰와 사랑을 받아왔다.",1,국내도서-소설/시/희곡
4,9788954617246,6185205,칼의 노래,"14,850원",820원,김훈 저,문학동네,"이순신 장군이 백의종군을 시작할 무렵부터 임진왜란 중 장렬하게 전사하기까지의 삶을 당대의 국내외적 사건 속에서 생생하게 다루고 있다.

영웅 이순신의 드러나 있는 궤적을 다큐멘터리식으로 복원하여 현실성을 부여하되, 소설 특유의 상상력으로 이순신 자신의 1인칭 서술을 일관되게 유지하여 전투 전후의 심사, 혈육의 죽음, 여인과의 통정, 정치와 권력의 폭력성, 죽음에 대한 사유, 문(文)과 무(武)의 멀고 가까움, 밥과 몸에 대한 사유, 한 나라의 생사를 책임진 장군으로서의 고뇌 등을 드러내고 있다.",1,국내도서-소설/시/희곡
5,9788925568799,89240892,이문열 삼국지 1,"16,200원",900원,나관중 저/이문열 평역/정문 그림,알에이치코리아(RHK),"이문열 평역 삼국지 30년 만의 개정 신판 출간! 
독보적인 문장으로 읽는 우리 시대의 삼국지 

누적판매 2,000만 부
우리 시대를 대표하는 『이문열 삼국지』가 
현대적인 감각으로 다시 돌아왔다!

젊은 세대를 위해 내용을 손보고, 한자어 독음을 달아 읽기 쉬운 『삼국지』

1988년 출간된 이래 누적판매 2,000만 부라는 대기록을 세운『이문열 삼국지』가 출간 30여 년 만에 새롭게 출간된다. 나관중 판본을 기본으로 하여 우리 시대 대표 작가인 이문열의 글맛으로 살려낸 『이문열 삼국지』는 오랫동안 최고의 고전으로 사랑받아왔다. 무수한 평역본 중 특히 이 책이 한 세대를 넘어서까지 생명력을 가질 수 있었던 것은, 이문열 작가 특유의 날카로운 문장과 흡입력 있는 구성이 돋보였기 때문이다. 방대한 서사와 영웅호걸들의 이야기들을 지루하지 않게, 다음 권을 넘겨보게 만들어 삼국지를 처음 접한 이들도 충분히 재미있게 읽을 수 있었던 것. 더불어 다른 판본에서는 삭제되거나 경시된 ‘시’, ‘평’ ‘표’ 등 중국 문학의 특징을 고스란히 살려낸 서사와 문학적 힘이 발휘된 덕분이기도 하다. 

이번 개정 신판에서는 이런 장점은 유지하면서, 지난 30년간 독자들에게서 받은 질문과 평역자 자신이 계속하여 고민하였던 내용들을 새롭게 손보고, 요즘 세대도 쉽게 읽을 수 있도록 한자어의 독음과 주석을 달았으며, 의미가 명확한 한자어는 병기하지 않음으로써 좀 더 읽기 쉽도록 고쳤다. 작가는 수개월에 걸쳐 한 글자 한 글자를 곱씹으며 문장을 다시 만졌다. 여기에 타이완의 유명 화가인 정문(鄭文) 작가의 그림을 함께 수록하여 보는 즐거움을 배가했다. 독특한 화풍으로 삼국지의 각 인물과 주요 사건을 그려낸 정문의 그림은 삼국지 특유의 서사를 더욱 돋보이도록 만들어준다. ",1,국내도서-소설/시/희곡
6,9788954693271,119153314,범도 1,"18,000원","1,000원",방현석 저,문학동네,"시대의 절망을 저격한 조선 최고의 스나이퍼, 홍범도
그와 함께한 포수들의 격렬하고 뜨거웠던 항일 무장투쟁의 대서사시

집필부터 탈고까지 10년 
신동엽문학상, 황순원문학상, 오영수문학상 수상 작가 방현석 필생의 역작

홍범도를 위대한 장군으로 그릴 생각은 조금도 없었다. 나는 홍범도를 통해 한 시대의 가치가 어떻게 새롭게 출현하고, 그 가치가 어떻게 낡은 가치를 돌파하면서 자신의 길을 가는지를 알고 싶었다. _‘작가의 말’에서

6월 7일, 문학동네가 대한독립군을 이끈 홍범도의 생애와 일제에 맞선 포수들의 항일 무장투쟁을 다룬 장편소설 『범도』를 펴낸다. 6월 7일은 1920년, 3·1운동 이후 대한독립군이 일본군과 처음으로 맞붙은 대규모 전투이자 독립군이 대승을 거둔 ‘봉오동 전투’의 개전일이다.",1,국내도서-소설/시/희곡
7,9788954693288,119153320,범도 2,"18,000원","1,000원",방현석 저,문학동네,"시대의 절망을 저격한 조선 최고의 스나이퍼, 홍범도
그와 함께한 포수들의 격렬하고 뜨거웠던 항일 무장투쟁의 대서사시

집필부터 탈고까지 10년 
신동엽문학상, 황순원문학상, 오영수문학상 수상 작가 방현석 필생의 역작

홍범도를 위대한 장군으로 그릴 생각은 조금도 없었다. 나는 홍범도를 통해 한 시대의 가치가 어떻게 새롭게 출현하고, 그 가치가 어떻게 낡은 가치를 돌파하면서 자신의 길을 가는지를 알고 싶었다. _‘작가의 말’에서

6월 7일, 문학동네가 대한독립군을 이끈 홍범도의 생애와 일제에 맞선 포수들의 항일 무장투쟁을 다룬 장편소설 『범도』를 펴낸다. 6월 7일은 1920년, 3·1운동 이후 대한독립군이 일본군과 처음으로 맞붙은 대규모 전투이자 독립군이 대승을 거둔 ‘봉오동 전투’의 개전일이다.",1,국내도서-소설/시/희곡
8,9791197063275,101963278,고구려 7,"14,220원",790원,김진명 저,이타북스,"고대사부터 고조선, 고구려까지
몽땅 중국의 역사로 쓸어 담는 동북공정!
그 허구를 깨는 웅혼한 고구려의 역사가 되살아난다

대한민국 역사소설의 새로운 장을 여는 작품이자 이례적인 베스트셀러 작가 김진명 필생의 역작 『고구려』의 개정판과 신작이 동시에 묶여 출간된다. 기존 출시되어있는 여섯 권(1~6권)의 개정판에, 소수림왕 후기를 다룬 신간 7권이 더해져 고구려 최전성기를 관통하는 왕들의 살아 숨 쉬는 일대기를 한 번에 만나볼 수 있다.

1993년 『무궁화꽃이 피었습니다』로 데뷔한 이래, 작가 김진명의 가슴 깊숙한 곳에는 언젠가는 반드시 써내고 말아야 할 한 작품이 도사렸다. 영원의 바람으로 새겨 온 그 필생작은 바로 ‘고구려’였다. 17년의 각고 끝에 첫 선을 보인 소설 『고구려』는 현대와 같이 급변하는 당시 동북아 정세 속에서 가장 뜨거운 시간을 마주했던 다섯 왕(미천왕-고국원왕-소수림왕-고국양왕-광개토대왕)을 다룬다.",1,국내도서-소설/시/희곡
9,9791197708589,112229385,흑뢰성,"15,120원",840원,요네자와 호노부 저/김선영 역,리드비(READbie),"2021년, 일본 문학 시장을 석권한 요네자와 호노부의 『흑뢰성』이 국내에 소개된다. 『흑뢰성』은 요네자와 호노부의 작가 경력 20주년을 기념하는 집대성이자, 역사소설의 왕도와 미스터리의 정수를 모두 성취한 걸작으로 평가받고 있다.

『흑뢰성』은 ‘제12회 야마다 후타로상’을 시작으로, 역사상 최초로 미스터리 4대 랭킹 동시 1위를 달성하였으며, 제166회 나오키상마저 수상하며, 이후 없을 9관왕을 달성하고는 그해 일본 문학 최고의 자리에 올랐다. 『흑뢰성』은 일본 전국시대, 기록으로 남지 않은 역사적 수수께끼를 배경으로 난세에 휩쓸린 무인과 병사 그리고 민초의 삶을 흥미진진하게 또 진중하게 그리고 있다. 

요네자와 호노부는 자신의 장기인 미스터리 설정을 최대한 발휘해 드러나지 않은 역사의 이면을 재구성하고, 폭풍처럼 몰아치는 마지막 반전으로 독자에게 ‘난세(亂世)를 살아가는 개인’이라는 근원적인 질문을 던진다.",1,국내도서-소설/시/희곡
10,9788993607017,3472398,혼불 1,"10,450원",원,최명희 저,매안출판사,"우리 민족의 근원적인 정서, 원형질에 대한 완벽한 복원!
최명희 대하소설 『혼불』

1930년대 말. 전라도의 한 유서 깊은 문중에서 무너지는 종가(宗家)를 지키며 치열하게 몸을 일으키는 宗婦 3대와, 천하고 남루한 상민들이 겪을 수밖에 없었던 애환에 대한 이야기다. 어두운 역사, 암울한 시절. 외형적으로는 국권을 잃고 일제의 탄압을 극심하게 받았지만 내부적으로는 여전히 조선말의 정신구조와 문화를 지탱하고 있던 이중적 시대상황 속에서, 처참하게 부서지고, 상처받고, 뒤집히고, 고뇌하며, 한없이 몸부림치지만 ?..",1,국내도서-소설/시/희곡
