순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788956057842,32685521,당신 인생의 이야기,"15,300원",850원,테드 창 저/김상훈 역,엘리,"머리를 쓰는데 가슴이 뜨거워진다! 
이렇게 가슴 벅찬 SF라니!

최고의 과학소설 작가, 테드 창 작품 영화화!
「시카리오」 드니 빌뇌브 감독, 11월 개봉작 SF 「컨택트」 원작! 

전혀 다른 차원의 소재와 전혀 다른 스타일의 전개로
최고의 과학소설에 수여되는 모든 상을 석권한 엄청난 소설! 

단 한 권의 작품집으로 “전 시대를 통틀어 가장 위대한 과학 단편소설 작가 중의 한 명”이라는 명성을 얻은 테드 창의 『당신 인생의 이야기』가 출간됐다. 최고의 과학소설에 수여되는 네뷸러상, 휴고상, 로커스상, 스터전상, 캠벨상, 아시모프상, 세이운상, 라츠비츠상을 모두 석권한 이 책은 과학이 줄 수 있는 최고의 지적 상상력과 소설이 줄 수 있는 최고의 철학적 사유를 선사하는 특별한 책이다. 통찰력 있는 주제를 우아하고 적격한 문체로 풀어나가는 『당신 인생의 이야기』는 SF 소재를 언급할 필요도 없이, 소설을 좋아하는 사람의 서가에 반드시 꽂혀 있어야 하는 작품이다.",1,국내도서-소설/시/희곡
2,9788954624862,12991848,대성당,"15,120원",840원,레이먼드 카버 저/김연수 역,문학동네,"소설가 김연수의 번역으로 만나는 카버 문학의 정수!

“의심의 여지 없이 레이먼드 카버는 나의 가장 소중한 문학적 스승이었으며, 
가장 위대한 문학적 동반자였다.” _무라카미 하루키

‘헤밍웨이 이후 가장 영향력 있는 소설가’ ‘리얼리즘의 대가’ ‘미국의 체호프’ 등으로 불리며 미국 현대문학의 대표작가로 꼽히는 레이먼드 카버. 1960년 첫 단편 「분노의 계절」을 발표한 이후 1988년 폐암으로 세상을 떠날 때까지 삼십 년 가까운 세월 동안 그는 소설집, 시집, 에세이 등 십여 권의 책을 펴냈다. 

그러나 카버의 진면목은 무엇보다 단편소설에서 확인할 수 있으며, 그런 까닭에 전 세계 많은 젊은 소설가들이 좋아하는 작가로 주저 없이 ‘레이먼드 카버’를 꼽는다. 소설가 무라카미 하루키 역시 카버의 팬을 자처하며, 그의 소설을 직접 번역해 일본에 소개하기도 했다.",1,국내도서-소설/시/희곡
3,9788954656160,73092331,빛과 물질에 관한 이론,"14,850원",820원,앤드루 포터 저/김이선 역,문학동네,"데뷔작 하나만으로 일약 미국 단편 문학의 신성新星으로 떠오른 앤드루 포터. 그의 데뷔작 『빛과 물질에 관한 이론』이 문학동네에서 출간되었다. 『빛과 물질에 관한 이론』은 섬세한 문체로 깊은 울림을 이끌어내는 열 편의 단편소설이 실린 소설집으로, 단편 부문 플래너리 오코너상을 수상했다. 또한 스티븐 터너상, 패터슨상, 프랭크 오코너상, 윌리엄 사로얀상 최종 후보에 오르고 출간된 해 포워드 매거진, 캔자스시티 스타, 샌안토니오 익스프레스 등에서 ‘올해의 책’으로 선정되기도 했다. 언론의 반응도 뜨거웠는데, 인디펜던스는 “현재 미국에서 가장 눈여겨봐야 할 단편 작가”로 그를 소개했고, 런던 타임스는 『빛과 물질에 관한 이론』을 “무시무시한 작품집”이라고 평했으며, 리브로 에브도는 “그는 놀라울 정도로 강렬한 데뷔작에서 이미 장인의 솜씨를 보여주었다”고 극찬했다. 장편소설이 주류를 이루는 영미 문화권에서 그의 소설집에 대한 평단과 독자들의 환호는 이례적인 일이라고 할 수 있다.",1,국내도서-소설/시/희곡
4,9791164050277,72349693,숨,"16,650원",920원,테드 창 저/김상훈 역,엘리,"최고의 SF에 수여되는 모든 상을 석권하며 전 세계 21개 언어로 번역 출간된 『당신 인생의 이야기』의 작가, 테드 창의 두 번째 작품집이다. 2002년 『당신 인생의 이야기』를 출간한 이래  17년 만에 펴내는 소설집으로, 로커스상, 휴고상, 영국과학소설협회상을 수상한 표제작인「숨」을 비롯해 총 9편의 중 · 단편이 수록되어 있다. 그중 「옴팔로스」「불안은 자유의 현기증」은 최초 공개되는 신작 단편이다. 새로운 기술이 인간 사회에 도래했을 때, 그것이 지닌 가능성은 인간과 사회를 어떻게 변화시키는가. 세상을 바라보는 인간의 태도는 어떻게 변화하며, 그 결과 인간은 어디를 향해 나아가는가. 이 환상적이고 우아한 작품집에서 테드 창은 결코 흉내 낼 수 없는 새로운 상상력을 통해, 인류 역사상 가장 오래된 질문들에 맞서 분투한다. 그리고 훌륭한 SF는 아름다움과 의미와 공감을 자아낼 수 있음을 분명하게 증명한다. ",1,국내도서-소설/시/희곡
5,9788954611152,3799551,올리브 키터리지,"15,120원",840원,엘리자베스 스트라우트 저/권상미 역,문학동네,"바닷가 마을 사람들의 일상을 그린 연작소설
2009년 퓰리처상 수상작
""우리 인생의 여러 나날들의 의미를 묻는 소설""(김연수)

올리브 키터리지라는 여성을 중심으로 미국 메인 주의 작은 마을 크로스비 사람들의 이야기를 열세 편의 단편에 담아낸 연작소설이다. “퉁명스럽고 허점이 많으면서도 매혹적인 인물 올리브가 있고, 독자의 정서에 진하게 호소하는 세련된 작품”이라는 평을 들으며  2009년 퓰리처상을 수상한 작품이다.",1,국내도서-소설/시/희곡
6,9788937463082,8454107,에드거 앨런 포 단편선,"10,350원",570원,에드거 앨런 포 저/전승희 역,민음사,"어긋나고 음습한 세계관, 이야기마다 서린 독특한 광기, 어두운 상상력으로
이성과 감성의 틈을 날카롭게 파고든 에드거 앨런 포의 대표 단편들

환상 공포 문학 영역을 개척한 천재적인 작가 에드거 앨런 포의 단편들을 모은 『에드거 앨런 포 단편선』이 민음사 세계문학전집으로 출간되었다. 독특한 소재와 건조하고 무거운 글쓰기를 지향했던 포는 미국 단편소설의 시조로 불리는 동시에 현대 단편소설의 형식과 스타일을 정립했다고 평가받는다.

그의 작품은 환상적이고 그로테스크한 소재를 통해 이성과 감성, 현실과 초현실, 일탈과 순응 사이의 간극을 넘나드는 것이 특징이다. 특히 그는 이성만으로 설명되지 않는 인간 심리의 복합성을 포착해 그에 대한 탁월한 통찰을 보여 준다.",1,국내도서-소설/시/희곡
7,9791196914806,86623101,당신 인생의 이야기 (리커버),"16,650원",920원,테드 창 저/김상훈 역,엘리,"“이 한 권의 소설로, 테드 창은 단숨에 전설이 되었다!”
전 세계 21개 언어로 번역 출간!
최고의 SF에 수여되는 모든 상을 석권한 놀라운 소설!
[가디언] 선정 21세기 최고의 책 100

단 한 권의 소설집으로 “전 시대를 통틀어 가장 위대한 과학소설 작가 중의 한 명”이라는 명성을 얻은 테드 창의 『당신 인생의 이야기』 리커버 양장본! 『당신 인생의 이야기』는 ‘독보적 상상력의 대가’로 자리매김한 지금의 테드 창을 전 세계에 알린 그의 첫 번째 작품집으로, 과학적 상상력에 기초한 전혀 다른 차원의 소재와 시종일관 탄성을 자아내게 하는 놀라운 서사를 통해 최고의 과학소설에 수여되는 모든 상을 석권했다. 

테드 창은 인간 사회에 큰 영향을 미쳐왔고 앞으로도 그럴 가능성이 농후한 과학철학적 담론들을 가능한 한 여러 측면에서 파헤치는 동시에 그것을 지극히 인간적인 은유에 담아 펼쳐낸다.",1,국내도서-소설/시/희곡
8,9788954697354,124517887,사라진 것들,"16,200원",900원,앤드루 포터 저/민은영 역,문학동네,"현대 미국 단편문학의 정수
『빛과 물질에 관한 이론』 앤드루 포터 신작 소설집

문학이 줄 수 있는 자기 발견의 기쁨과 고통을 앤드루 포터만큼 잘 그려내는 작가도 드물 것이다. 자신의 마음을 더는 외면하고 싶지 않은 이에게, 자기 이야기를 재발견하고 싶은 이에게 이 책을 추천한다. 그의 차기작을 오래 기다린 보람이 있었다. _최은영(소설가)

소설집 『빛과 물질에 관한 이론』으로 한국 독자들의 큰 사랑을 받은 앤드루 포터의 두번째 소설집 『사라진 것들』이 문학동네에서 출간되었다. 데뷔작 『빛과 물질에 관한 이론』으로 플래너리 오코너상을 수상하고, 포워드 매거진, 샌안토니오 익스프레스 등 다수의 매체에서 ‘올해의 책’으로 선정되며 장편소설이 주류를 이루는 미국에서 단편문학의 기수로 자리매김한 앤드루 포터가 내놓은 신작 소설집이다.",2,국내도서-소설/시/희곡
9,9791187206606,43946399,나는 입이 없다 그리고 나는 비명을 질러야 한다,"13,320원",740원,"할란 엘리슨 저/신해경,이수현 공역",아작,"“신이시여, 할란 엘리슨이네.”
중단편 만으로 휴고상, 에드거상, 네뷸러상 등 각종 문학상을 
60여 차례나 수상한 살아 있는 전설이자 미친 천재!

“여기, 진짜가 나타났다.” 중단편만으로 휴고상, 에드거상, 네뷸러상, 브람스토커상, 세계판타지문학상 등 각종 문학상을 60여 차례나 수상한 SF, 판타지 소설계의 대부이자 살아 있는 전설, 미친 천재 할란 엘리슨의 국내 첫 작품집. 

1,700여 편에 이르는 전방위적인 작품과 더불어, “작가는 모든 것을 알아야 한다”며 청소년 범죄에 관해 쓰기 위해 가짜 신분으로 브루클린 갱단에 들어갔고, 롤링 스톤즈 등과 함께 여행한 뒤 로큰롤을 묘사하기도 했으며, 흑인 참정권 운동을 위해 마틴 루터 킹 목사가 주도한 셀마-몽고메리 행진에 동참하기도 한 행동하는 자유주의자. 

영화 [터미네이터]를 비롯해 자기 아이디어를 베꼈다고 생각한 영화 제작사들을 상대로 지독한 저작권 소송을 벌이고, 검열 반대 운동에 앞장서 국제 작가 연맹으로부터 ‘실버 펜’까지 수상한 ‘천재’, ‘괴물’, 그리고 ‘전설’ 그 자체인 할란 엘리슨의 대표 수상작 모음 전집.

“할란 엘리슨은 자기 키가 159센티미터라고 하지만, 
재능과 열정과 용기 면에서는 2미터가 넘는 거인이다.”
- 아이작 아시모프",1,국내도서-소설/시/희곡
10,9788937463921,103664171,서머싯 몸 단편선 1,"12,600원",700원,서머싯 몸 저/황소연 역,민음사,"문학성과 대중성을 동시에 인정받은 영국 문학의 대표 작가 서머싯 몸
전 세계를 여행하며 명쾌한 필치로 포착해 낸 청춘의 다채로운 순간

『달과 6펜스』를 비롯해 『면도날』, 『인생의 베일』, 『인간의 굴레에서』 등 영문학 최고 걸작의 반열에 올라선 작품들을 발표하고 영국 명예 훈위 칭호를 받은 서머싯 몸. 장편 소설, 희곡, 단편 소설, 에세이 등 장르를 넘나드는 활발한 작품 활동으로 문학성과 대중성을 동시에 인정받은 작가다. 서머싯 몸이 발표한 100여 편에 이르는 단편 중 주요 30편을 망라한 『서머싯 몸 단편선 1,2』가 민음사 세계문학전집으로 출간되었다. 

청춘의 방황과 생의 의미를 깨닫는 여정, 그 속에서 발견해 낸 인간 본성에 대한 통찰은 서머싯 몸의 작품 전체를 관통하는 주제다. 사랑과 우정, 성공과 실패, 삶과 죽음 등의 선택지들 사이에서 다양한 인간 군상이 서로 공명하며 생의 의미를 깨닫는 순간을 예리하게 포착해 현실적으로 묘사해 낸다. 명쾌하고 대중적인 필치로 써 내려간 단편들에서 서머싯 몸의 유머 감각을 엿볼 수 있다. 블랙코미디와 서스펜스로 채워진 단편들은 스페인, 프랑스, 사모아섬, 타히티 등 세계 각지를 배경으로 펼쳐져 독자들에게 전 세계를 종횡무진했던 서머싯 몸의 생애, 삶이 곧 여행이었던 작가를 다채로운 공간에서 다시 보게 되는 경험을 선사한다.
",1,국내도서-소설/시/희곡
