순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788990982704,45353675,용의자 X의 헌신,"16,920원",940원,히가시노 게이고 저/양억관 역,재인,"백 퍼센트의 사랑, 백 퍼센트의 헌신……
추리 소설 역사상 가장 처절하고 가장 아름다운 한 편의 서사시

히가시노 게이고 문학의 정수로 일컬어지는 『용의자 X의 헌신』이 새롭게 번역되어 출간됐다. 일본 문학 전문 번역가 양억관 씨가 자신의 번역을 대폭 손질해 원작이 지닌 문학적 향기와 감동을 오롯이 되살려 냈다. 

『용의자 X의 헌신』은 명실상부 히가시노 게이고의 출세작이자 대표작으로 평가되는 장편 미스터리 소설이다. 출간된 해에[주간 문춘 미스터리 베스트 10] 1위를 수상한 것을 시작으로 이듬해 [본격 미스터리 대상] 1위, [이 미스터리가 대단하다] 1위를 차지했으며, 급기야 일본의 대표적인 문학상인 제134회 나오키 상을 거머쥐었다. 2008년 일본에서 영화로 만들어져 그 해 개봉한 일본 영화 가운데 흥행 수입 3위를 기록했다.",1,국내도서-소설/시/희곡
2,9791193790083,126111057,히든 픽처스,"12,600원",700원,제이슨 르쿨락 저/유소영 역,문학수첩,"★굿리즈 초이스 어워드 호러 부문 1위
★아마존 올해 최고의 미스터리 스릴러
★반스앤드노블 올해 최고의 책
★넷플릭스와 판권 계약

고전적인 공포를 독창적으로 재해석한 미스터리 스릴러의 진화!
장르의 규칙을 비틀어 새로운 규칙을 만들어 낸 신선한 소설의 탄생!

“간결한 문장, 놀라운 스토리, 엄청난 추진력… 정말 대단하다”(스티븐 킹) “기이할 정도로 풍부한 상상력을 가진 작가(뉴욕타임스)”라는 평가를 듣는 제이슨 레쿨릭의 신작 미스터리 스릴러 《히든 픽처스》가 문학수첩에서 출간되었다. 에드거상 최종후보에 오른 데뷔작에 이어 두 번째 소설을 발표한 신인처럼 보이지만, 작가의 숨겨진 이력은 상당하다. 독립출판사의 편집자이자 발행인 역할을 하며 장르문학계에 획을 그은 새로운 소설들을 기획해 세계적 베스트셀러에 올려놓았고, 필명으로 직접 집필한 놀라운 상상력과 기발한 설정의 소설들만 열두 권이 넘는다. 

스릴러의 거장 스티븐 킹으로부터 “손에서 내려놓을 수 없다.",1,국내도서-소설/시/희곡
3,9791190174756,89913383,"칵테일, 러브, 좀비","11,700원",650원,조예은 저,안전가옥,"안전가옥 쇼-트 시리즈의 두 번째 책으로, 조예은 작가의 단편집이다. 안전가옥 오리지널 시리즈의 첫 책 『뉴서울파크 젤리장수 대학살』에서 탄탄한 구성의 호러 스릴러를 선보였던 작가의 연출력은 단편집에서 더욱 다양한 색채로 빛을 발한다. 미묘하지만 분명한 폭력을 감내해 왔던 여성 빌런의 탄생을 그린 「초대」, 물귀신과 숲귀신 사이의 사랑스러운 이끌림을 담은 「습지의 사랑」, 블랙 유머를 통해 가부장제의 이면을 들여다보는 오컬트 좀비물 「칵테일, 러브, 좀비」, 제2회 황금가지 타임리프 공모전에서 우수상을 차지한 「오버랩 나이프, 나이프」 등 네 작품을 수록하였다.",1,국내도서-소설/시/희곡
4,9788972750031,76108857,악의,"15,120원",840원,히가시노 게이고 저/양윤옥 역,현대문학,"『악의』는 [가가 형사 시리즈] 3번째 작품으로, 히가시노 게이고의 초기 대표작이자 많은 미스터리 팬들의 필독서 겸 입문서로 사랑받는 소설이다. 『악의』에서는 번뜩이는 두뇌와 끈기를 자랑하는, 완성형의 가가 교이치로를 만날 수 있을 뿐만 아니라, 사회 과목 교사였던 그가 어째서 교직에서 물러나 경찰의 길을 걷게 되었는지, 개인사를 엿볼 수 있다. 한 인기 작가의 죽음에 얽힌 기나긴 악의의 여정을 탐구해가는 본 작품에서 히가시노는 미스터리 작가로서 절정의 솜씨를 선보인다. 일찌감치 범인의 정체를 공개한 후 살인의 진짜 동기와 방법에 대한 수수께끼를 던지면서 독자와의 정면 대결을 펼친 것.",1,국내도서-소설/시/희곡
5,9788960177758,11865751,그리고 아무도 없었다,"10,800원",600원,애거서 크리스티 저/김남주 역,황금가지,"전 세계 미스터리의 역사를 재창조한 추리 소설의 여왕,
애거서 크리스티를 대표하는 작품만을 모은 에디터스 초이스

1억 부 이상이 팔린 명실공히 최고의 애거서 크리스티 소설이자, 출간 이래 항상 세계에서 가장 많이 팔리고 있는 미스터리 소설! 세계 3대 추리 소설 중의 하나이자, 수없이 많은 영화와 드라마로 제작된 최고의 미스터리이며, 애거서 크리스티 자신이 뽑은 제일 좋아하는 작품 목록의 1위에 올라 있다. 외딴 섬에 저마다 숨기고픈 비밀이 있는 열 명의 손님이 초대를 받는다. 저택의 곳곳에 섬뜩한 내용의 동요 가사가 든 액자가 걸려 있고, 그 동요에 맞춰 10명의 손님들은 차례차례 죽음을 맞이하는데…….",1,국내도서-소설/시/희곡
6,9791160408331,111704883,트로피컬 나이트,"13,500원",750원,조예은 저,한겨레출판,"『칵테일, 러브, 좀비』 『스노볼 드라이브』
한국 문학의 보석, 조예은 신작 소설

“널 등쳐먹어서 미안해. 
넌 대부분 한심하고 가끔 사랑스럽지만 잘 살 거야.”

『트로피컬 나이트』는 누군가에게 힘이 되는 이야기다. 수록작 〈고기와 석류〉를 예로 들면, 이렇다. 남편이 죽고 아들도 떠나 혼자 남은 노인이 있다. 노인은 어린아이의 얼굴을 한 괴물을 우연히 만나고, 괴물을 집 안에 들이고야 만다. 노인은 괴물에게 잡아먹히게 될까? 아니다. 조예은의 이야기는 전혀 다르게 흘러간다. 그의 소설은 힘든 삶을 힘들다고 말하는 데서 끝나지 않는다. 공포를 보여주지만 공포가 우리의 삶을 갉아먹도록 내버려두지 않는다. 어쨌든 삶은 계속되니까. 소설이 끝난 뒤에도 이야기는 이어지니까. 이야기가 계속되는 한 조예은의 인물들은 끝까지 살아내고 버틴다. 삶이 계속되는 한 조예은의 이야기는 반드시 밝은 방향으로 나아간다. 신작 소설 『트로피컬 나이트』 또한 그렇다.",1,국내도서-소설/시/희곡
7,9791185546117,15292219,코너스톤 셜록 홈즈 전집,"19,800원","1,100원",아서 코난 도일 저/바른번역 역,코너스톤(도서),"최신 개정판으로 더욱 풍성하게 돌아온 코너스톤의《셜록 홈즈 전집》!

꼼꼼한 번역, 깔끔한 편집으로 많은 사랑을 받아온 코너스톤의 《셜록 홈즈 전집》이 새로운 모습으로 돌아왔다. 추리소설 역사상 가장 많은 사랑을 받은 탐정, 셜록 홈즈. 번뜩이는 추리와 날카로운 통찰이 빛나는 홈즈만의 우아한 사건 기록을 원전 완역본으로 출간해 많은 사랑을 받았던 코너스톤이 특별한 개정판을 준비했다. 이번 개정판은 꼼꼼한 번역과 깔끔한 편집으로 많은 독자의 사랑을 받았던 기존 텍스트에 박광규 추리소설 전문가의 감수를 받아 작품의 완성도를 높였으며, 리하르트 거트슈미트, 시드니 패짓 등의 삽화를 수록하여 독자들이 셜록 홈즈의 세계에 더욱 몰입할 수 있도록 구성했다. 

120여 년 동안 영화, 연극, 만화와 게임 등 다양한 장르 속에서 수없이 변주되어온 탐정의 대명사, 셜록 홈즈.",1,국내도서-소설/시/희곡
8,9791192483238,143381588,침묵의 퍼레이드,"19,620원","1,090원",히가시노 게이고 저/김난주 역,재인,"법이 실현하지 못하는 정의,
그리고 그 정의를 지키기 위해 침묵하는 용의자들...

히가시노 게이고 작품 사상 가장 강력한 반전!

『용의자 X 의 헌신』 『한여름의 방정식』에 이어
'탐정 갈릴레오 시리즈' 사상 세 번째로 영화화

미스터리의 제왕 히가시노 게이고의 페르소나 유가와 마나부가 돌아왔다. 전작 『금단의 마술』에서 사건을 해결한 후 홀연히 미국으로 떠났던 그가 이번 신작 『침묵의 퍼레이드』에서 다시 ‘탐정 갈릴레오’로 돌아와 의문의 사건을 해결하러 나선다.

『침묵의 퍼레이드』는 30년 가까이 이어지고 있는 히가시노 게이고의 인기 연작 추리소설 ‘탐정 갈릴레오 시리즈’의 아홉 번째 작품으로, 발표와 동시에 독자들로부터 ‘탐정 갈릴레오의 재시동!’이라는 기대와 ‘전대미문의 걸작’이라는 찬사를 한 몸에 받은 화제작이다.",1,국내도서-소설/시/희곡
9,9791191043419,103861082,소문,"14,850원",820원,오기와라 히로시 저/권일영 역,모모,"“마지막 4글자에 모든 것이 뒤바뀐다!”
일본 미스터리 역사상 최고의 반전이라는 입소문이
그 자체로 진실이 된 바로 그 소설, 『소문』 복간!

새로 런칭하는 향수 홍보를 위해 거짓 소문이 퍼진다. ‘한밤중 시부야에 뉴욕에서 온 살인마 레인맨이 나타나서 소녀들을 죽이고 발목을 잘라 가는데, 뮈리엘 로즈를 뿌리면 괜찮다’라고 하는 도시전설과 같은 소문. 이 소문은 여고생들의 입을 타고 시부야를 중심으로 퍼져나가며 향수는 선풍적인 인기를 끌고 입소문 전략은 대성공을 거둔다. 그런데 소문이 현실이 되어 발목이 잘린 소녀의 시체가 하나둘 발견되는데…. 

2009년 국내에 처음 출간된 후 미스터리 독자들 사이에서 최고의 반전 소설으로 꼽혔던 오기와라 히로시의 서스펜스 스릴러 『소문』이 새롭게 태어났다. 『소문』의 일본판 띠지 앞면에는 이렇게 적혀 있다. “헉 소리가 나는 충격적인 마지막 한 줄.” ",1,국내도서-소설/시/희곡
10,9788990982575,14840131,가면산장 살인사건,"15,120원",160원,히가시노 게이고 저/김난주 역,재인,"이런 반전은 없었다.
누구도 결말을 예측할 수 없는 이중 삼중의 트릭, 스릴 만점의 심리전.

“스포일러 금지!”

외딴 산장에 여덟 명의 남녀가 모인 가운데 한밤중 은행 강도범이 침입해 인질극을 벌인다. 인질들은 수차례 탈출을 시도하지만 번번이 실패하고, 강도범과 인질들 사이에 숨 막히는 줄다리기가 펼쳐지는 가운데 인질 한 명이 살해된 채 발견된다. 여기까지만 보면 별로 특이할 것 없는 미스터리 소설의 흔한 소재와 줄거리다. 그러나 히가시노 게이고가 쓰면 다르다.

작품을 먼저 접한 일본 독자들이 아마존 저팬 사이트에 남긴 서평은 한결같이 ‘충격’과 ‘경악’, 그리고 ‘속았다’는 것이다. 그도 그럴 것이, 마치 잘 짜인 무대에서 벌어지는 한 편의 연극과도 같은 이 소설의 전개를 그저 흥미진진한 시선으로 바라보던 독자들이 작품의 클라이맥스에 가서 그 누구도 상상조차 할 수 없었던 엄청난 반전과 맞닥뜨리며 머리를 한 대 얻어맞은 것과 같은 충격에 휩싸이기 때문이다.",1,국내도서-소설/시/희곡
