순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788936439743,143911524,혼모노 (리커버),"16,200원",900원,성해나 저,창비,"“‘몰입’의 파티다. 영화로 만들고 싶은 작품들로 가득하다.” -배우 박정민

‘2024 한국문학의 미래가 될 젊은 작가’ 1위 선정!
지금 가장 생생하고 뜨거운 이름,
성해나라는 강렬한 세계

2024·2025 젊은작가상, 2024 이효석문학상 우수작품상 수상작 수록

작품마다 치밀한 취재와 정교한 구성을 바탕으로 한 개성적인 캐릭터와 강렬하고도 서늘한 서사로 평단과 독자의 주목을 고루 받으며 새로운 세대의 리얼리즘을 열어가고 있다 평가받는 작가 성해나가 두번째 소설집 『혼모노』를 선보인다. 성해나는 2024·2025 젊은작가상, 2024 이효석문학상 우수작품상, 2024 김만중문학상 신인상 등 다수의 문학상을 연달아 수상하고 온라인 서점 예스24가 선정한 ‘2024 한국문학의 미래가 될 젊은 작가’ 투표에서 1위로 선정되는 등 이미 그 화제성을 증명한 바 있다.",1,국내도서-소설/시/희곡
2,9791167372864,118578901,구의 증명,"10,800원",600원,최진영 저,은행나무,"만약 네가 먼저 죽는다면
나는 너를 먹을 거야.
그래야 너 없이도 죽지 않고 살 수 있어.

사랑 후 남겨진 것들에 관한 숭고할 만큼 아름다운 이야기

최진영 소설 『구의 증명』은 사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.",1,국내도서-소설/시/희곡
3,9788954646079,42798224,바깥은 여름,"14,400원",800원,김애란 저,문학동네,"김애란 5년 만의 신작 소설집

제37회 이상문학상 수상작 「침묵의 미래」
제8회 젊은작가상 수상작 「어디로 가고 싶으신가요」 수록

『비행운』 이후 5년 만에 펴내는 김애란의 신작 소설집. 역대 최연소 수상으로 화제를 모은 이상문학상 수상작 「침묵의 미래」와 젊은작가상 수상작 「어디로 가고 싶으신가요」를 포함해 일곱 편의 단편이 실렸다. 가까이 있던 누군가를 잃거나 어떤 시간을 영영 빼앗기는 등 상실을 맞닥뜨린 인물의 이야기, 친숙한 상대에게서 뜻밖의 표정을 읽게 되었을 때 느끼는 당혹스러움, 언어의 영(靈)이 사라지기 전 들려주는 생경한 이야기들이 김애란 특유의 간결하고 담백한 문체로 펼쳐진다. 작가생활 15년, 끊임없이 자신을 갱신하며 단 한 번도 우리를 실망시킨 적 없는 김애란이 선보이는 일곱 편의 마스터피스.    ",1,국내도서-소설/시/희곡
4,9791190090018,74261416,우리가 빛의 속도로 갈 수 없다면,"15,300원",850원,김초엽 저,허블,"오늘날 전 세계 독자가 사랑하는 “우리의 첫 번째 SF”

과학도였던 김초엽 작가는 2017년 「관내분실」로 제2회 한국과학문학상 중단편 대상을, 「우리가 빛의 속도로 갈 수 없다면」으로 가작을 수상하며 작품 활동을 시작했다. 이 두 작품을 수록한 첫 소설집 『우리가 빛의 속도로 갈 수 없다면』은 출간 이후 독자와 평단의 주목을 받았는데, 2019년 제43회 오늘의 작가상 수상, 조선일보·동아일보·문화일보·한겨레·경향신문·시사IN 올해의 책 선정, 예스24·교보문고·알라딘 올해의 책 선정, 대한출판문화협회 올해의 청소년 교양 도서·한국문화예술위원회(아르코) 문학나눔 도서로 선정되었으며, 2020년엔 포항시·구미시·김해시 올해의 책 선정되었을 뿐만 아니라 소설가 정세랑·김연수 등을 비롯해 뮤지션 장기하, 영화감독 김보라 등 여러 아티스트들의 찬사를 받으며 전 영역에서 뜨거운 관심을 받았다.",1,국내도서-소설/시/희곡
5,9791196222628,57799398,회색 인간,"11,700원",650원,김동식 저,요다,"2017년, 독자들이 발굴하여 등단한 김동식 소설가의 데뷔작 『회색 인간』 100쇄 기념 에디션. 100쇄를 기념해 독자들이 보내온 축전 가운데 50인의 글을 모아 부록에 실었다. 독서와 거리를 두었던 학생들, 새로운 화법의 소설에 목말라했던 문학 애호가들이 보내온 축전에서 드러나듯 이 작품은 7년이 지난 현재까지도 전 세대의 독자에게 꾸준한 사랑을 받으며 스테디셀러에 자리하고 있다.

오리지널 표지가 표제작의 주요 배경인 ‘지저 세계’를 표현했다면, 이번 특별판은 이야기의 결말을 '빛'으로 해석하여 새로운 장정으로 디자인했다. 참혹한 현실에서도 예술이 인간의 내면에 어떤 빛을 비추는지를 보여주는 「회색 인간」처럼, 이 작품집에 담긴 스물네 편의 이야기가 계속해서 독자들의 삶에 다양한 갈래의 희망으로 다가가길 바라본다.",1,국내도서-소설/시/희곡
6,9791141602024,144248311,2025 제16회 젊은작가상 수상작품집,"13,500원",750원,"백온유,강보라,서장원,성해나,성혜령,이희주,현호정 공저",문학동네,"“오늘 한국문학이 마침내 도달한 가장 높은 끓는점”
우리의 체온을 뜨겁게 달구는 일곱 편의 열망들

한국문학의 새로운 미래를 함께하고자 2010년 제정된 젊은작가상이 올해로 어느덧 16회를 맞이했다. 데뷔 십 년 이내의 젊은 작가들이 한 해 동안 발표한 소설 가운데, 지금 여기에서 창발하는 문제의식을 가장 예리한 시선으로 포착해낸 작품에 주목하고자 마련된 젊은작가상은 지난해까지 모두 66명에 이르는 새로운 얼굴을 소개하며 한국문학에 생기를 더했다. 올해 젊은작가상에 이름을 올린 수상 작가는 백온유 강보라 서장원 성해나 성혜령 이희주 현호정이다. 이 상의 수상자로는 처음 이름을 올린 백온유 강보라 서장원 이희주 네 명의 등장이 반갑고, 특히 젊은작가상 첫 수상을 대상으로 장식한 백온유의 성취가 뜻깊다. 2023년 수상자인 성혜령 현호정, 2024년 수상자인 성해나의 재등장은 현재 한국문학을 이끌어가는 주역이 누구인지를 가늠케 해준다.",1,국내도서-소설/시/희곡
7,9788995151228,125020220,난장이가 쏘아올린 작은 공,"13,950원",770원,조세희 저,이성과 힘,"한국 현대문학의 대표적인 고전으로 평가받는 『난장이가 쏘아올린 작은 공』은 1970년대 난장이로 상징되는 도시 노동자들의 모습을 담고 있다. 1975년 [칼날]부터 1978년 [내 그물로 오는 가시고기]와 [에필로그]에 이르기까지 12편이 수록되었으며, 빠른 호흡의 단문과 아름다운 문체, 환상적인 기법 등 현실과 미학의 뛰어난 결합으로 평가받는다. 2024년 2월 판매 부수 150만 부(325쇄)를 돌파하였다.

개정판에서는 판형과 표지를 새로이 하고, 오늘날의 표기법에 맞게 일부 단어와 문장을 다듬었다. 기존에 실린 문학평론가 김병익, 우찬제의 해설 외에 작가와 오랜 시간을 함께한 기자이자 작가인 이문영의 글을 새로 실었다.",1,국내도서-소설/시/희곡
8,9788965820475,8068409,한국단편소설 40,"15,120원",840원,"김동인 등저/성낙수, 박찬영,김형주 공편",리베르,"수능·논술·내신을 위한 필독서!

『한국단편소설 40』은 청소년 문학 분야 베스트셀러인『한국단편소설 35』의 개정 증보판이다. 그동안 『한국단편소설 35』는 엄선된 작품과 충실한 해설로 중고생은 물론 일반인들로부터도 뜨거운 사랑을 받아 왔다. 중고등학교 교과서 개정과 교육 과정 개편에 따라 꼭 포함돼야 할 필독 작품을 빠짐없이 추가하였고, 수능·논술·내신을 위해 내용을 충실하게 보완하였다. 40편이란 최다 작품을 수록하면서도 전문을 실어 완전한 감상을 할 수 있도록 하였다. 작품 선정의 기준은 문학 교과서 수록 빈도, 문학사적 의의, 예술성을 기준으로 삼았다.

논술이 대학 입학의 중요한 관문이 되면서 문학은 이제 교양을 넘어서 필수 과목이 되었다. 이 책에는 살아가는 동안 꼭 읽어야 할 한국 단편 소설이 수록되어 있으므로 청소년은 물론 성인들도 필독 작품 목록으로 삼을 수 있을 것이다.",1,국내도서-청소년
9,9791171717071,130499627,0000,"11,700원",650원,임선우 저,위즈덤하우스,"“다음에 또 만나자고 전해주세요.”
끝내 불 켜지지 않을 것 같은 어둠 속으로 뛰어들어온 고양이 한 마리

소설집 『유령의 마음으로』 『초록은 어디에나』를 발표하고, 2023년 김유정작가상을 수상한 작가 임선우의 『0000』이 위즈덤하우스의 단편소설 시리즈 위픽으로 출간되었다. 소설은 “통장 잔고 0, 인간관계 0, 행동반경 0킬로미터, 메신저 알림 0”인 주인공의 외롭고도 고요한 죽음에서부터 시작된다. 길고양이들의 안전한 삶을 위해 활동하는 특수요원 고양이 ‘오후’는 나에게 ‘존재감을 없애는 비결’을 알려달라고 제안한다. 어린 시절 기 수련원에서 배웠던 기의 공 만들기, 벤치나 가로등처럼 “누구도 관심을 기울이지 않는” 적막함을 가진 사물이 되기. 오후와 나는 사람을 사람이게 하는, 고양이를 고양이이게 하는 모든 것을 비워내는 연습을 한다.
",1,국내도서-소설/시/희곡
10,9791168127012,117828174,파쇄,"11,700원",650원,구병모 저,위즈덤하우스,"구병모의 대표작 《파과》를 잇는 강렬한 외전의 탄생
위픽 시리즈 100권 
출간 기념 《파쇄》 리커버

위즈덤하우스 단편소설 시리즈 ‘위픽’이 드디어 100번째 책을 펴냈다. 구병모의 《파쇄》로 시작해 이미상의 《셀붕이의 도》에 이르기까지, 100명의 작가와 100편의 소설을 통해 한국문학의 가장 다채로운 모습을 펼쳐 보이며 독자들로부터 많은 사랑을 받아왔다. 위픽 시리즈 100권 출간을 기념하여, 시리즈의 첫 책이자 상징적 의미를 지닌 구병모 작가의 《파쇄》가 새옷을 갈아입고 독자들을 만난다. 《파쇄》는 그녀의 대표작 《파과》의 외전으로, ‘조각’이라는 인물이 어떻게 킬러로 성장했는지 그 기원을 추적하는 소설이다. 혹독한 훈련을 통해 타인을 부숴버리는 방법을 터득함으로써 결국 자신의 삶도 산산조각 나기를 선택한 조각의 탄생기가 구병모 작가의 압도적인 문장으로 생생히 되살아난다.",1,국내도서-소설/시/희곡
