순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788925554990.0,15718330,스토너,"15,120원",840원,존 윌리엄스 저/김승욱 역,알에이치코리아(RHK),"내셔널 북 어워드(NBA) 수상작가 존 윌리엄스의 장편소설. 2013년 영국 최대의 체인 서점인 '워터스톤' 올해의 책으로 선정된 도서이다. 1965년 미국에서 발표된 후, 오랜 시간 동안 독자들에게 잊힌 스토너는 영국, 프랑스, 독일, 네덜란드 등 유럽 출판계와 평론가, 독자들의 열렬한 반응을 이끌어내며 베스트셀러가 되었다. 50년의 시차를 가볍게 뛰어넘어, 작가 존 윌리엄스가 세상을 떠난 지 20년 만에 비로소 제대로 된 세상의 평가를 받게 된 것이다.

농부의 아들 윌리엄 스토너는 열아홉 살에 농업을 배우기 위해 대학에 진학한다. 스스로의 의지와는 상관없이 선택했던 길. 그런데, 영문학개론 수업에서 접한 셰익스피어의 일흔세 번째 소네트가 그의 인생을 온통 바꾸어놓는다. 문학을 사랑하게 된 것이다. 고향에 돌아가는 대신 대학에 남아 영문학도의 길을 택한 스토너. 

사랑하는 여인과 결혼해 가정을 이루고, 교수가 되어 교육자로서의 삶을 살아가게 된다.",1,국내도서-소설/시/희곡
2,9788937460777.0,372300,1984,"9,900원",550원,조지 오웰 저/정회성 역,민음사,"전제주의라는 거대한 지배 시스템 앞에 놓인 한 개인이 어떻게 저항하다가 어떻게 파멸해 가는지, 그 과정과 배후를 적나라하게 보여주는 디스토피아 소설이다. 작품의 무대는 전체주의의 극한적인 양상을 띠고 있는 나라, 오세아니아. 정치 통제 기구인 당은 허구적 인물인 빅 브라더를 내세워 독재 권력의 극대화를 꾀하는 한편, 정치 체제를 항구적으로 유지하기 위해 텔레스크린, 사상경찰, 마이크로폰 등을 이용하여 당원들을 철저하게 감시한다.",1,국내도서-소설/시/희곡
3,9788925588650.0,101375809,마션,"17,820원",990원,앤디 위어 저/박아람 역,알에이치코리아(RHK),"SF계를 뒤흔든 대담한 데뷔작,
천재 작가 탄생을 알린 21세기 화성판 로빈슨 크루소
[뉴욕타임스] 74주 연속 베스트셀러
500만 관객이 선택한 맷 데이먼 주연 영화 [마션] 원작 소설

미국 항공우주국(NASA)은 현지 시각으로 2021년 4월 25일, 화성에서의 3차 동력 시험에 성공했다. 인류 역사 이래 화성은, 태양계 행성 중에서도 인간의 끊임없는 관심의 대상으로 우주 탐사의 제1목적지였다. 또한, 일론 머스크와 같은 우주 사업가에게는 새로운 인류 정착지로 여겨졌으며, H. G. 웰스, 레이 브래드버리와 같은 작가들에게는 상상력의 원천이 되었다. 이러한 화성을 배경으로 색다른 조난 소설이 쓰였다면 어떤 이야기를 담고 있을까. 먹을 것은 어떻게 조달하고, 산소조차 희박한 행성 안에서 어떻게 숨 쉴 수 있을까, 무엇보다 화성에 ‘홀로’ 남았다면, 거기에다 그 홀로 남은 사람이 주인공이라면? 이러한 가정을 모두 담아낸 작품이 바로 『마션』이다.",1,국내도서-소설/시/희곡
4,9788925588711.0,101375832,아르테미스,"17,820원",990원,앤디 위어 저/남명성 역,알에이치코리아(RHK),"기대 이상의 스케일,
데뷔작의 성공을 뛰어넘는 블록버스터
출간 즉시 아마존 베스트셀러 1위
천재작가 앤디 위어의 SF 누아르 스릴러

천재 작가 앤디 위어가 이번에는 지구의 위성 달을 무대로 새 작품을 선보인다. “아르테미스라는 제목 외에는 생각해 본 적 없다”라고 작가 스스로 자부할 만큼 달에 대한 애정을 듬뿍 담은 이 소설은 전작과 마찬가지로 출간하자마자 세간의 이목을 끌며 베스트셀러 1위에 오르는 기염을 토했다. 이 작품의 성공으로 앤디 위어는 명실공히 베스트셀러 작가이자, 흥행 보증 수표로 거듭났다. 전작 『마션』이 화성에서 조난 당한 남성의 생존기였다면 『아르테미스』는 하드보일드 소설의 전형적인 시작으로 이야기의 포문을 연다. 

면적 약 0.5평방킬로미터. 인구 약 2,000여 명. 대부분 관광객이나 억만장자가 거주하는 이 도시에는 다수의 노동자와 범죄자도 공존하고 있다.",1,국내도서-소설/시/희곡
5,9791130646381.0,123400303,이처럼 사소한 것들,"12,420원",690원,클레어 키건 저/홍한별 역,다산책방,"한 세대에 한 명씩만 나오는 작가, 클레어 키건의 대표작!

* 문학평론가 신형철, 르포작가 은유 추천 
* 2022 부커상 최종후보
* 2022 오웰상 소설 부문 수상 
* 킬리언 머피 주연·제작 영화화

2023년 4월 국내에 처음 소개된 『맡겨진 소녀』로 국내 문인들과 문학 독자들의 열렬한 환호를 받은 클레어 키건의 대표작 『이처럼 사소한 것들』이 다산책방에서 번역 출간되었다. 작가가 전작 『맡겨진 소녀』 이후 11년 만에 세상에 내놓은 소설로, 자국에서는 이미 오래전부터 거장의 반열에 오른 키건에게 미국을 넘어 세계적인 명성을 안겨준 작품이다. 2022년 부커상 최종후보에 오르고, 같은 해 오웰상(소설 부문), 케리그룹 문학상 등 유수의 문학상을 휩쓸었으며, 특히 부커상 심사위원회는 “아름답고 명료하며 실리적인 소설”이라는 평을 보내며 이 소설이 키건의 정수가 담긴 작품임을 알렸다.",1,국내도서-소설/시/희곡
6,9788937460050.0,17352,동물농장,"7,200원",400원,조지 오웰 저/도정일 역,민음사,"풍자 우화를 통한 사회 비판을 담은 기념비적 소설
“모든 동물은 평등하다. 그러나 어떤 동물은 다른 동물들보다 더 평등하다.”

우화 형식으로 당대의 정치적 현실을 날카롭게 묘파한 『동물농장』은 『1984』, 『카탈로니아 찬가』와 함께 조지 오웰이 47세의 나이로 갑작스레 사망하기 전 짧은 작가 생활 동안 남긴 영국 문학의 위대한 결실이다. 이 작품이 영국에서 처음 출간된 것은 2차 세계 대전이 갓 끝난 1945년이었다. 소련과 사회주의에 민감하던 세계 정치적 분위기에서 이 작품은 처음엔 거의 모든 출판사에서 출판을 거절할 정도로 홀대받았으나, 그의 전작 『카탈로니아 찬가』를 출간했던 섹커 앤드 와버그 출판사의 결정으로 겨우 출간에 이를 수 있었다. ",1,국내도서-소설/시/희곡
7,9788937460883.0,402246,오만과 편견,"11,700원",650원,"제인 오스틴 저/윤지관,전승희 공역",민음사,"영국 BBC의 '지난 천년간 최고의 문학가' 조사에서 셰익스피어에 이어 2위를 차지할 만큼 영국인의 큰 사랑을 받고 있는 작가, 제인 오스틴. 이번에 출간된 『오만과 편견』은 두 영문학자들이 10년 동안 꼼꼼한 원문 대조 과정과 교차 검토 과정을 거쳐 탄생한 번역본이다. 오역이나 부정확한 번역을 없앴음은 물론, 오스틴 문체의 특징으로 잘 알려져있는 '묘출화법'이나 반어와 풍자, 그리고 당시 시대상에 맞는 적절한 단어 표현과 선택에 신경써서 번역했다. 

----------------------

하트포드셔의 작은 마을에 사는 베넷 ...",1,국내도서-소설/시/희곡
8,9788937462788.0,6157159,노인과 바다,"7,200원",400원,어니스트 헤밍웨이 저/김욱동 역,민음사,"미국 현대 문학의 개척자라 불리는 헤밍웨이는 제1차 세계대전 후 삶의 좌표를 잃어버린 ‘길 잃은 세대’를 대표하는 작가이다. 그러나 그동안 저작권 계약이 어려워, 국내에는 제대로 소개되지 못하다가 이번에 대표작 세 권을 동시에 선보이게 되었다.",1,국내도서-소설/시/희곡
9,9788937460388.0,135880,달과 6펜스,"9,000원",500원,서머싯 몸 저/송무 역,민음사,"예술 충동에 사로잡힌 한 남자의 지독한 이기심과 광기 어린 천재성
화가 폴 고갱의 삶에서 영감을 받은, 서머싯 몸의 대표작이자
세계대전 이후 인간 문명에 염증을 느낀 젊은이들에게 영혼의 해방구가 된 소설

“낯선 곳에 있다는 느낌, 바로 그러한 느낌 때문에 그들은 사랑을 느낄 수 있는 뭔가 영원한 것을 찾아 멀리 사방을 헤매는 것이 아닐까.”",1,국내도서-소설/시/희곡
10,9788937460753.0,370331,위대한 개츠비,"8,100원",450원,F.스콧 피츠제럴드 저/김욱동 역,민음사,"‘재즈의 시대’였던 미국의 1920년대를 배경으로 무너져 가는 아메리칸드림을
예리한 필치로 그려 낸 20세기 가장 뛰어난 미국 소설

『위대한 개츠비』는 20세기 가장 뛰어난 미국 소설로 꼽히는 작품이다. 우리나라에서만 수십 번 출간되었으며, 현재 팔리고 있는 판본만 27종에 이른다. 이처럼 세대를 거듭하여 번역되고 읽히는 고전은 보통 텍스트가 정확하다고 생각하기 쉽지만 실제로는 그러하지 않은 경우가 허다하다. 『위대한 개츠비』 역시 출간 이래 계속 텍스트가 문젯거리가 되어왔으나 1991년 영국 케임브리지 대학교 출판부에서 ‘결정판’ 텍스트를 출간하여 이러한 문제를 해결하였다. ",1,국내도서-소설/시/희곡
11,9788973814725.0,18360997,멋진 신세계,"12,420원",690원,올더스 헉슬리 저/안정효 역,소담출판사,"충격적인 미래 문명 비판 문학의 고전, 
『멋진 신세계』 속 냉혹한 미래상은 이미 현재 진행 중이다!


올더스 헉슬리의 예언적 소설 『멋진 신세계』는 금세기에 미래를 가장 깊이 있고 날카롭게 파헤친 작품 중의 하나다. 현대식 에덴동산에서의 삶을 그린 이 이야기는 자유와 도덕 개념이 낡은 넝마가 되어버린 현대 문명사회를 회화적으로 묘사하여 그 속에 내포된 위험을 경고한다. 뼈아프게 비판하고 고결하게 지키려는 헉슬리의 웅변적인 인간 선언을 우리는 잊지 말아야 한다. 
-「새터데이 리뷰Saturday Review」

암울한 미래 세계를 그린 뛰어난 현대 고전을 남긴 올더스 헉슬리는 명문 집안 출신의 영국 작가로서 광범위한 지식뿐 아니라 예리한 지성과 우아한 문체, 그리고 때로는 냉소적인 유머 감각으로 유명하다. 그가 1932년에 발표한 작품 『멋진 신세계』는 금세기에 미래를 가장 깊이 있고 날카롭게 파헤친 작품 중의 하나로 평가받는다.",1,국내도서-소설/시/희곡
12,9788937460470.0,204300,호밀밭의 파수꾼,"10,800원",600원,제롬 데이비드 샐린저 저/공경희 역,민음사,"20세기 최고의 베스트셀러이자 전 세계 청춘들을 열광하게 한 성장 소설

20세기 미국 문단의 이단아 J. D. 샐린저의 『호밀밭의 파수꾼』은 사립학교의 문제아 홀든 콜필드가 퇴학을 당하고 집으로 돌아오기까지 며칠간의 일들을 담은 작품이다. 십대들의 언어를 그대로 옮긴 듯한 욕설과 비속어 속에 위트를 간직한 문장으로 청춘만이 공감할 수 있는 페이소스를 녹여 낸 이 소설은 젊은 독자들 사이에서 ‘콜필드 신드롬’을 일으켰고, 홀든 콜필드라는 이름은 반항아의 대명사가 되었다. 전통적인 성장 서사가 자아의 발견과 성찰에 집중하고 있다면, 『호밀밭의 파수꾼』은 인간 존재를 특징짓는 공허함과 소외 그리고 위선적인 기성세대에 대한 예민한 성찰을 보여 준다. 이 작품은 전 세계적으로 누적 판매 7,000만 부를 기록했다. ",1,국내도서-소설/시/희곡
13,9791130642574.0,119149162,작은 땅의 야수들 (백호 에디션),"16,200원",900원,김주혜 저/박소현 역,다산책방,"2024 톨스토이 문학상 수상작
잊어선 안 될 우리 역사를 전 세계에 알린 소설

“한국 독립의 상징인 호랑이가 등장하는 이 소설은
지금 위대한 미래를 앞두고 있다”
_파벨 바신스키(톨스토이 문학상 심사위원)

K-호랑이와 함께 다시 태어난 작은 땅의 야수들 ‘백호 에디션’
겨울 한정 소장판

2024년 톨스토이 문학상을 수상하며 한국 문학의 자부심이 된 『작은 땅의 야수들』이 출간 3년 만에 ‘백호 에디션’으로 새롭게 단장했다. 이번 에디션은 작품의 상징이자 한국 독립의 표상으로 자리해 온 ‘호랑이’를 중심으로, 한국적 미감과 세계적 K-컬처 트렌드를 결합해 완성한 겨울 한정 소장판이다.",1,국내도서-소설/시/희곡
14,9788937463686.0,91887697,여름,"10,800원",600원,이디스 워튼 저/김욱동 역,민음사,"최초의 여성 퓰리처상 수상 작가, 이디스 워튼이 쓴 성장 소설
미국 문단에서 여성의 성적 열정을 다룬 최초의 본격 문학

여성 최초의 퓰리처상 수상 작가 이디스 워튼의 『여름』이 민음사 세계문학전집 368번으로 출간되었다. 1차 세계 대전이 막바지에 이르렀을 무렵, 피난민을 돌보며 전쟁의 상처를 수습하던 작가가 단 몇 주 동안의 휴식기에 써 내려간 이 작품은 비극적인 전쟁의 한가운데에서도 “창작의 희열이 정점에 이르러” 집필했다고 알려져 있다. 이 소설은 미국 문단에서 젊은 여성의 성장을 다룬 최초의 본격 문학으로, 주인공인 ‘채리티’가 연인과의 사랑을 통해 자신의 과거를 대면하고 미래를 향해 나아가는 과정을 그렸다. 성장의 요소로서 특히 여성의 성적 열정을 전면에 내세운 이 소설은 인습과 전통에 맞서 자신의 욕망을 직면하는 여성을 묘사해 미국 문단에 커다란 충격을 안겼다.",1,국내도서-소설/시/희곡
15,9791193790403.0,136727687,해리 포터와 마법사의 돌 1,"11,250원",620원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",2,국내도서-소설/시/희곡
16,9788970134796.0,1442160,은하수를 여행하는 히치하이커를 위한 안내서 1,"12,600원",700원,"더글러스 애덤스 저/김선형,권진아 공역",책세상,"1978년 BBC 라디오 드라마로 시작하여, TV드라마, 책, 음반, 게임 등 온갖 버전으로 확장되며 사랑 받아온 '코믹SF' 장르의 고전. '지구는 어떤 범차원적인 종족이 모든 것에 대한 궁극적인 해답을 얻기 위해 설계한 슈퍼컴퓨터'라는 설정 등 기발한 착상과 유머감각으로 매니아들의 열광적인 사랑을 받아온 시리즈이다. 우주를 배경으로 하는 한 편의 자유분방한 우화. ",2,국내도서-소설/시/희곡
17,9791193790410.0,136727765,해리 포터와 마법사의 돌 2,"11,250원",620원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",2,국내도서-소설/시/희곡
18,9791194591610.0,143750410,초판본 오만과 편견,"4,950원",270원,제인 오스틴 저/휴 톰슨 그림/김유미 역,더스토리,"국내 최초 1894년 공작새 에디션 초판본 표지이미지 
영국이 낳은 여류작가 제인 오스틴의 연애학 개론 《오만과 편견》

이 시대 최고의 찬사를 받은 제인 오스틴의 《오만과 편견》
초판 출간 210주년을 기념해 공작새 에디션으로 다시 돌아온 사랑 이야기

영국 BBC 방송은 두 번째 밀레니엄을 마감하여 ‘지난 천년 동안의 최고의 문학가’를 뽑는 설문조사를 실시했다. 1위인 윌리엄 셰익스피어에 이어 두 번째로 이름을 올린 작가가 바로 제인 오스틴이다. 《오만과 편견》은 노벨 연구소가 선정한 세계문학 100대 작품에 선정되었으며, 호주에서는 독자가 선정한 ‘역사상 최고의 책’ 1위에 올랐다. 또한 국립중앙도서관의 청소년 권장도서 등 우리나라의 각종 추천도서 목록에도 빠지는 일이 없다. 사람들이 이토록 찬사를 보내는 이유는 ‘아무나 쓸 수 없는 제인 오스틴만의 특별함’이 작품 속에 내재되어 있기 때문이다.",1,국내도서-소설/시/희곡
19,9791193790083.0,126111057,히든 픽처스,"12,600원",700원,제이슨 르쿨락 저/유소영 역,문학수첩,"★굿리즈 초이스 어워드 호러 부문 1위
★아마존 올해 최고의 미스터리 스릴러
★반스앤드노블 올해 최고의 책
★넷플릭스와 판권 계약

고전적인 공포를 독창적으로 재해석한 미스터리 스릴러의 진화!
장르의 규칙을 비틀어 새로운 규칙을 만들어 낸 신선한 소설의 탄생!

“간결한 문장, 놀라운 스토리, 엄청난 추진력… 정말 대단하다”(스티븐 킹) “기이할 정도로 풍부한 상상력을 가진 작가(뉴욕타임스)”라는 평가를 듣는 제이슨 레쿨릭의 신작 미스터리 스릴러 《히든 픽처스》가 문학수첩에서 출간되었다. 에드거상 최종후보에 오른 데뷔작에 이어 두 번째 소설을 발표한 신인처럼 보이지만, 작가의 숨겨진 이력은 상당하다. 독립출판사의 편집자이자 발행인 역할을 하며 장르문학계에 획을 그은 새로운 소설들을 기획해 세계적 베스트셀러에 올려놓았고, 필명으로 직접 집필한 놀라운 상상력과 기발한 설정의 소설들만 열두 권이 넘는다. 

스릴러의 거장 스티븐 킹으로부터 “손에서 내려놓을 수 없다.",1,국내도서-소설/시/희곡
20,9788937462146.0,3452430,면도날,"13,500원",750원,서머싯 몸 저/안진환 역,민음사,"『인간의 굴레에서』, 『달과 6펜스』와 함께
서머싯 몸의 3대 장편소설 중 하나

1930년대 유럽, 그 풍요와 야망의 시대를 배경으로 꿋꿋이 자신만의 길을 개척하는 한 젊은이의 구도적 여정을 그린다. 이 작품의 가장 중요한 축은 주인공 래리의 구도적 여정이다. 비록 어려서 부모를 잃었지만, 유복한 후견인 집안에서 부족할 것 없이 자란 래리는 여느 젊은이들처럼 교회에도 나가고 골프도 즐기는 평범한 청년이었다.",1,국내도서-소설/시/희곡
