순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788937461033,1387488,인간 실격,"8,100원",450원,다자이 오사무 저/김춘미 역,민음사,"인간의 나약함을 탁월하게 묘사하는 다자이 오사무의 작품을 새롭게 읽는다. 순수하고 여린 심성의 젊은이가 인간 사회의 위선과 잔혹성을 견디지 못하고 파멸되어 가는 과정을 그린 소설로, 어느 세계에도 속하지 못한 채 인간 실격자로 전락한 주인공의 내면을 치밀한 심리묘사로 기록하였다. 다자이 작품 속의 타락과 자기파괴적 언행은 기존사회에 속한 모든 것을 거부하고 새로이 시작하고자 하는 전후 사회 일본 젊은이들의 의식을 반영하고 있다.",1,국내도서-소설/시/희곡
2,9791191043297,102360203,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","12,600원",700원,이치조 미사키 저/권영주 역,모모,"매일 기억을 잃는 너와
두 번 다시 돌아갈 수 없는 사랑을 했다
제26회 전격소설대상 ‘미디어워크스문고상’ 수상작

밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기. 선행성 기억상실증이라는 익숙한 소재를 매우 수준 높은 청춘 소설로 탄생시켰다는 극찬을 받으며 제26회 전격소설대상 ‘미디어워크스문고상’을 수상한 이 작품은 간질간질한 청춘의 로맨스를 전혀 예측할 수 없는 국면으로 끌고 가, 깐깐하고 엄격한 심사위원 모두를 눈물 흘리게 만들었다는 흥미로운 뒷이야기를 남긴 소설이기도 하다.

“날 모르겠지만, 사귀어줄래…?” 어쩔 수 없이 건넨 도루의 거짓 고백을 “날 정말로 좋아하지 말 것. 지킬 수 있어?”라는 조건을 걸고 허락한 히노.",1,국내도서-소설/시/희곡
3,9788937434488,44499829,노르웨이의 숲,"15,300원",850원,무라카미 하루키 저/양억관 역,민음사,"“나를 언제까지나 잊지 마, 내가 여기 있었다는 걸 기억해 줘.”

하루키 월드의 빛나는 다이아몬드
무라카미 하루키를 만나기 위해 가장 먼저 읽어야 할 책!

페이지를 처음 펼치는 오늘의 젊음들에게, 그리고 오랜 기억 속에 책의 한 구절을 간직하고 있는 어제의 젊음들에게, 한결같은 울림으로 예민하고 섬세한 청춘의 감성을 전하며 영원한 필독서로 사랑받고 있는 무라카미 하루키의 대표작 『노르웨이의 숲』. 1989년 『상실의 시대』라는 제명으로 처음 출간된 이래 우리 출판 사상 최장기 베스트셀러를 기록하며 하나의 사건으로 남은 소설, 『노르웨이의 숲』이 민음사 세계문학전집에 이어 단행본으로 출간되었다.",1,국내도서-소설/시/희곡
4,9791191043754,109308932,세상의 마지막 기차역,"15,120원",840원,무라세 다케시 저/김지연 역,모모,"독자들의 입소문으로 만들어진 초대형 베스트셀러
50만 부 판매 기념 리커버 에디션 전격 출시!

2022년 출간 후 단숨에 외국 소설 분야 1위, 종합 베스트셀러에 오르며 2025년에 이르기까지 누적 판매 부수 50만 부를 기록, 온오프라인 전 서점 스테디셀러로서 수많은 독자의 마음을 울린 《세상의 마지막 기차역》. 

“읽는 내내 눈물이 펑펑 쏟아져서 도저히 한 번에 읽을 수 없다”, “주인공에 이입되어 그리운 사람이 떠올라 가슴이 먹먹해졌다”, “지금 내 곁에 있는 사랑하는 사람의 소중함을 일깨워 주는, 고맙다거나 사랑한다는 낯부끄러운 말도 더 자주 표현해야겠다고 용기를 주는 고마운 책” “다 읽고 나면 흘린 눈물만큼 마음이 단단해진다” 등 독자들 사이에서 크게 입소문이 나며 사랑받아 왔다.",1,국내도서-소설/시/희곡
5,9791194654063,144199585,긴키 지방의 어느 장소에 대하여,"15,120원",840원,세스지 저/전선영 역,반타,일본 내 호러 열풍에 새롭게 불을 지핀 충격적 화제작 『긴키 지방의 어느 장소에 대하여』의 한국어판을 반타에서 선보인다. 실종된 사람에 대한 정보를 모으고 있으니 아는 바가 있다면 제보해달라는 독특한 호소로 시작하는 이 책은 특정 지역에서 일어난 실종 사건의 실마리가 될 법한 괴담을 옴니버스 형식으로 묶은 작품으로 올 2월 출간된 『입에 대한 앙케트』의 저자 세스지의 데뷔작이다. 극도의 공포가 당신을 기다리고 있다.,1,국내도서-소설/시/희곡
6,9791167901484,116586056,나미야 잡화점의 기적,"16,920원",940원,히가시노 게이고 저/양윤옥 역,현대문학,"히가시노 게이고의 가장 경이로운 대표작
국내 출간 10주년 기념 무선 보급판 발간

2012년 12월 19일 국내에 번역 출간된 이래 10년 연속 역대 최장기 베스트셀러 소설의 자리를 지키며, 2017년 지난 10년간 가장 많이 판매된 소설 1위, 2018년 국내 누적 판매 100만 부, 2019년 2010년대 베스트셀러 2위(소설 분야 1위), 2020년 초판 100쇄 돌파, 2022년 현재 170만 독자의 선택이라는 대기록을 세운 “21세기 가장 경이로운 베스트셀러”(교보문고), 한국인이 가장 사랑하는 일본 작가 히가시노 게이고의 아주 특별한 대표작 『나미야 잡화점의 기적』이 국내 출간 10주년을 맞아 무선 보급판으로 발간된다. 

위로와 공감을 얻을 수 있는 따뜻한 공간을 그린 초판 표지의 감동을 그대로 담아낸 무선판은 다소 무게감 있었던 양장판과 다르게 누구나 가볍게 들고 다니며 읽을 수 있도록 했다.",1,국내도서-소설/시/희곡
7,9788990982704,45353675,용의자 X의 헌신,"16,920원",940원,히가시노 게이고 저/양억관 역,재인,"백 퍼센트의 사랑, 백 퍼센트의 헌신……
추리 소설 역사상 가장 처절하고 가장 아름다운 한 편의 서사시

히가시노 게이고 문학의 정수로 일컬어지는 『용의자 X의 헌신』이 새롭게 번역되어 출간됐다. 일본 문학 전문 번역가 양억관 씨가 자신의 번역을 대폭 손질해 원작이 지닌 문학적 향기와 감동을 오롯이 되살려 냈다. 

『용의자 X의 헌신』은 명실상부 히가시노 게이고의 출세작이자 대표작으로 평가되는 장편 미스터리 소설이다. 출간된 해에[주간 문춘 미스터리 베스트 10] 1위를 수상한 것을 시작으로 이듬해 [본격 미스터리 대상] 1위, [이 미스터리가 대단하다] 1위를 차지했으며, 급기야 일본의 대표적인 문학상인 제134회 나오키 상을 거머쥐었다. 2008년 일본에서 영화로 만들어져 그 해 개봉한 일본 영화 가운데 흥행 수입 3위를 기록했다.",1,국내도서-소설/시/희곡
8,9788937460616,252513,설국,"7,200원",400원,가와바타 야스나리 저/유숙자 역,민음사,"동양적 미의 정수를 보여준 노벨문학상 수상작
전 세계인들의 감탄을 자아낸 눈 덮인 니가타 지방의 아름다운 정경
순수한 서정의 세계를 감각적으로 묘사한 일본 문학 최고의 경지

“국경의 긴 터널을 빠져나오자, 눈의 고장이었다.”

1968년 노벨문학상 수상작이자 일본 서정문학의 정수, 『설국』 정식 한국어판 출간

『설국』이 민음사에서 새로 번역되어 출간되었다. 『설국』은 이미 10여 종이 넘는 한국어 번역본이 나와 있으며 그간 수십만 권이 팔렸을 만큼 국내에서 애독되고 있는 대표적인 일본 소설이지만, 정식 계약 번역본은 이번이 처음이다. 일본 문학사상 최고의 서정 소설이라 할 『설국』 은 명확한 플롯이 없는 대단히 모호한 작품이지만, 그 뛰어난 감각적인 문체와 우수 어린 인간 세계 묘사로 누구나 그 속에 빠져들게 할 만한 명작이다.",1,국내도서-소설/시/희곡
9,9791191043976,110643312,"오늘 밤, 세계에서 이 눈물이 사라진다 해도","12,600원",700원,이치조 미사키 저/김윤경 역,모모,"30만 부 돌파 베스트셀러, 일본 영화 개봉·한국 영상화 확정
『오늘 밤, 세계에서 이 사랑이 사라진다 해도』 스핀오프 전격 출간!

“전작을 뛰어넘는 반전과 뜨거운 눈물.
슬픔이 가슴을 후벼 판다는 표현으로는 부족하다.” _독자 리뷰 중

한국에서만 누적 판매 부수 30만 부, 한국·일본·중국을 합해 50만 부 이상 판매된 베스트셀러 『오늘 밤, 세계에서 이 사랑이 사라진다 해도』의 후속작인 『오늘 밤, 세계에서 이 눈물이 사라진다 해도』가 드디어 출간되었다.

“내 생애 최고의 로맨스 소설”, “이렇게 펑펑 울어본 책은 처음이다”, “공공장소에선 절대 읽지 마시오”, “사랑의 정의를 다시 쓰게 한 책”이라는 독자들의 찬사를 받으며 베스트셀러에 오른 『오늘 밤, 세계에서 이 사랑이 사라진다 해도』는 한국에서의 폭발적인 판매에 힘입어 일본에서도 역주행의 신화를 쓴 이례적인 기록을 남긴 소설이기도 하다. ",1,국내도서-소설/시/희곡
10,9791164455263,103542316,초판본 인간 실격,"2,700원",20원,다자이 오사무 저/김소영 역,더스토리,"20세기 일본 데카당스 작품의 최고봉 『인간 실격』
무라카미 하루키가 가장 좋아하는 작가 오사이 다자무의 자전적 소설 『인간 실격』 초판본 출간

다자이오사무의 대표작 『인간 실격』은 사회에 대한 불안이 팽배한 시대에 꽃핀 작품이다. 작가의 자전적 소설로 알려진 이 작품은 다자이 오사무의 수기 형식을 빌려 마치 작가 자신의 삶을 고백하듯 이야기한다. ‘나’라는 화자가 서술하는 서문과 후기, 작품의 주인공 요조가 쓴 세 개의 수기로 구성되어 인간, 사회와의 모든 통로를 웃음으로 감춰 버린 한 젊은이의 퇴폐적 정서와 불안을 통렬하게 그린다. ‘인간들’을 이해할 수 없었으나 그 세계에 동화되기 위해 ‘익살꾼’을 자처했던 요조는 결국 ‘인간 실격자’가 되고 만다.",1,국내도서-소설/시/희곡
