순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788937460708,318392,체호프 단편선,"8,100원",450원,안톤 체호프 저/박현섭 역,민음사,"러시아 문학의 황금시대를 주도한 단편 문학의 천재 안톤 체호프
단순한 유머를 넘어 우수 어린 서정적 미학을 창출해 낸 작품 선집
모순과 부조리에서 나온 삶의 비극성을 감싸 안는 따뜻한 리얼리즘

“삶이 나를 짓누르기 전에 네가 먼저 삶을 부숴 버려. 삶으로부터 취할 수 있는 모든 것을 취하란 말이야.”

푸시킨, 고골 등과 함께 러시아 문학의 황금시대라 불리는 19세기 단편문학을 주도한 체호프의 단편선이 민음사에서 출간되었다. 세계문학전집 70번으로 발간된 체호프의 작품집에는 국내에 처음으로 소개되는 단편소설 아홉 편―「공포」, 「베짱이」, 「드라마」, 「베로치카」, 「미녀」, 「거울」, 「내기」, 「티푸스」, 「주교」―과 체호프 식 소설 구조의 전형을 보여 주는 작품 「관리의 죽음」이 수록되었다. 이 작품들은 모두 다양한 인물 군상을 통해 사소한 일상사를 재현함으로써 삶의 본질과 아이러니를 포착해 내고 있다.",1,국내도서-소설/시/희곡
2,9788937462849,6712992,죄와 벌 1,"9,900원",550원,도스토예프스키 저/김연경 역,민음사,"러시아의 대문호 도스토예프스키가 8년간의 유형 후 발표한 대작

이성의 광기 속으로 침잠하는 자폐적 인간, 고뇌하는 청춘의 전형 ‘라스콜니코프’를 창조해 냄으로써 20세기 문학, 철학, 심리학에 하나의 ‘사건’으로 기록된 소설



러시아의 대문호 표도르 도스토예프스키의 『죄와 벌』(전 2권)이 민음사 세계문학전집으로 출간되었다. 『죄와 벌』은 도스토예프스키가 사형선고에 이은 8년간의 유형 생활 후 두 번째로 발표한 작품이다. 전작 『지하로부터의 수기』에서 싹튼 새로운 ‘인물 유형’과 소설 기법이 바로 이 소설에서 만개하여, 인간의 가장 깊은 곳에 숨겨진 심리가 낱낱이 파헤쳐진다. 작가 스스로 『죄와 벌』은 “범죄에 대한 심리학적 보고서”라고 밝혔듯, 죄와 속죄에 대한 다양한 인식들이 팽팽하게 갈등하고 교차한다. 이 소설은 도스토예프스키가 작가로서의 성숙기에 정점을 찍을 수 있게 했고, 또한 조이스, 헤밍웨이, 고리키, 버지니아 울프, 토마스 만, 헨리 밀러, D. H.",1,국내도서-소설/시/희곡
3,9788937462856,6713010,죄와 벌 2,"9,900원",550원,도스토예프스키 저/김연경 역,민음사,"러시아의 대문호 도스토예프스키가 8년간의 유형 후 발표한 대작
이성의 광기 속으로 침잠하는 자폐적 인간, 고뇌하는 청춘의 전형 ‘라스콜니코프’를 창조해 냄으로써 20세기 문학, 철학, 심리학에 하나의 ‘사건’으로 기록된 소설


",1,국내도서-소설/시/희곡
4,9788937464386,124095618,이반 일리치의 죽음,"10,800원",600원,레프 니콜라예비치 톨스토이 저/김연경 역,민음사,"“모든 것이 한결같다. 세월이 흐를수록 더욱 죽음 같다. 산을 오른다고 상상하지만 사실은 꾸준히 산 아래로 내려가고 있었다. 산을 오르는 만큼 삶은 내 밑으로 떠내려가고 있었던 것이다.” -본문에서

러시아를 대표하는 문호이자 전 세계 사람들의 삶과 가치관에 심오한 영향을 끼쳐 온 작가 레프 톨스토이의 중편 소설 『이반 일리치의 죽음』이 민음사 세계문학전집으로 출간되었다. 거대한 영지를 소유한 지주, 빈농을 구제하기 위해 모든 재산을 내놓은 자선가, 환락에 취한 탕자, 심오한 진리를 탐구한 구도자 등 서로 상반되는, 심지어 모순되는 여러 면면을 지닌 톨스토이의 삶은 그 누구보다 다사다난했고, 또 그만큼 충만했다. 이토록 굴곡진 그의 인생에서도 특히 결정적 사건이 있었으니, 이른바 1869년 아르자마스 여관에서 맞닥뜨린 임사 체험이다. 일찍이 그는 이전부터 형제와 친지의 연이은 사망(맏형의 죽음 탓에 자살을 생각하기도 했다.",1,국내도서-소설/시/희곡
5,9788937486067,7979858,카라마조프 가의 형제들 세트,"29,700원","1,650원",도스토예프스키 저/김연경 역,민음사,"『카라마조프 가의 형제들』은 심오한 사상과 다양한 주제 등 내용 면에서뿐 아니라 그 분량도 방대한 편이다. 그러나 그럼에도 불구하고 극단적인 소재와 긴장감 넘치는 구성으로 인해 한번 손에 들면 끝까지 읽어 내려가게 된다. 부자간의 재산 다툼, 한 여자를 둘러싼 갈등, 결국 이런 반목에서 이어지는 친부 살해라는 다분히 선정적인 소재에, 범죄소설 혹은 추리소설 기법으로 쓰인 이 작품은 도스토예프스키의 다른 어떤 작품보다도 가독성이 높다. 여기에, 독특한 개성을 지닌 인물을 중심으로 이야기가 진행됨으로서 자극적인 사건은 보다 더 흥미롭게 전개된다. 

독특한 개성과 사상을 대변하는 인물들이 빚어내는 비극적인 사건을 통해 도스토예프스키는 삶과 죽음, 사랑과 욕정 등 인간 존재의 근본 문제를 다루고 있지만, 가장 핵심적인 주제는 바로 신과 신념에 대한 것이라고 볼 수 있을 것이다.",1,국내도서-소설/시/희곡
6,9788937486074,7979860,안나 카레니나 세트,"27,720원","1,540원",톨스토이 저/연진희 역,민음사,"19세기 러시아가 낳은 위대한 예술가 톨스토이.
그가 남긴 최고의 리얼리즘 소설

19세기 러시아의 대문호 레프 톨스토이의 『안나 카레니나』(Анна Каренина)가 민음사 세계문학전집 세트로 출간되었다. 동시대 작가인 도스토예프스키로부터 “완벽한 예술 작품”이라는 평가와, 역시 러시아 출신 소설가인 나보코프로부터 “톨스토이 스타일의 정점”이라는 극찬을 받은 바 있는 작품이다. 2007년 《타임》지에서 현대 작가 125명을 대상으로 한 설문을 통해 “지금까지 쓰인 가장 훌륭한 소설”로 뽑히기도 했다. 톨스토이 자신도 『안나 카레니나』를 “나의 진정한 첫 소설”로 여겼다고 한다. 민음사 세계문학전집의 『안나 카레니나』는 러시아 문학을 전공한 젊은 번역자 연진희가 21세기의 감수성에 맞는 새로운 번역을 선보인다. 

스테판 공작이 가정교사와 바람을 피운 사건 때문에 부부 사이에 불화가 생기자, 그의 여동생 안나 카레니나는 이들을 화해시키기 위해 모스크바로 온다.",1,국내도서-소설/시/희곡
7,9788937462399,3729147,지하로부터의 수기,"9,900원",550원,표도르 도스토예프스키 저/김연경 역,민음사,"러시아의 대문호 도스토예프스키의 『지하로부터의 수기』는 그의 작품 세계에서 전환점이 된 소설로, 최초의 실존주의 소설이라 일컬어진다. 그동안 그 누구도 시도하지 않았던 새로운 소설 형식을 선보여, 기존의 소설 문법뿐 아니라 세계 인식의 틀마저 배반하는 실험을 감행했다는 평가를 받고 있다.

『지하로부터의 수기』는 1부 「지하」와 2부 「진눈깨비에 관하여」로 구성되어 있다. 1부에서는 ""구린내 나고 추악한 지하""에서 이십 년 동안이나 독기를 품은 채 살아온 한 남자가 자신의 이야기를 시작한다.",1,국내도서-소설/시/희곡
8,9788936464073,7828342,이반 일리치의 죽음,"11,700원",650원,레프 니꼴라예비치 똘스또이 저/이강은 역,창비,"삶과 죽음에 대한 거장의 통찰
똘스또이의 중단편 가운데 가장 뛰어난 작품 

똘스또이의 중단편 중에서 가장 훌륭한 작품이라는 평가를 받는 『이반 일리치의 죽음』은 삶에 대한 똘스또이의 생각과 문제의식이 잘 나타나 있다. 이 작품은 한 인간의 삶과 죽음을 냉철하게 관찰하고 분석하고 묘사하고 그것을 극적으로 그려냄으로써 보편적 삶의 본질을 통찰한다. 판사로서 남부럽지 않게 성공한 인생을 살아가던 이반 일리치가 성공의 정점에서 갑자기 원인 모를 병에 걸려 죽어간다. 서서히 죽어가는 이반 일리치는 자신의 인생을 돌아보고 삶의 의미를 고통스럽게 되묻는다. 죽음 앞에서 한 인간이 자신의 삶 전체를 되짚어보며 그 의미를 파고드는 과정을 매우 밀도 있고 설득력 있게 그려냄으로써 독자로 하여금 보편적인 인간의 삶과 운명을 근본부터 다시 생각해보게 만드는 감동적인 장면을 빼곡하게 담고 있다.",1,국내도서-소설/시/희곡
9,9791191280630,97177454,사람은 무엇으로 사는가,"6,930원",380원,레프 톨스토이어 저/홍대화 역,현대지성,"자살 직전까지 갔던 톨스토이의 삶을 통째로 바꾼 삶의 진리… 
그 깨달음을 오롯이 녹여낸 명품 단편 모음!

위대한 소설가로 세계적인 명성을 누렸던 시절에도 채울 수 없었던 톨스토이의 마음을 만족하게 한 것은 무엇이었을까? 그 깨달음으로 살아갈 이유를 찾은 후 작품의 색깔까지 완전히 바꾸어 집필한 10편의 명 단편이 현대지성 클래식 제34권, 『사람은 무엇으로 사는가』로 독자들과 만난다. 

인생의 최고 정점이던 51세 무렵, 1879년을 기점으로 톨스토이의 인생은 완전히 달라진다. 사실 그때는 『전쟁과 평화』(1863-1869), 『안나 카레니나』(1873-1877)를 발표한 직후라 문학적인 명성과 창조적인 영감은 최고 수준이었다. 하지만 그는 피할 수 없는 죽음 앞에 선 인생의 허무함을 인식하며 상류층의 삶이 철저히 거짓과 위선 위에 세워졌다는 결론에 이른다.",1,국내도서-소설/시/희곡
10,9788958560760,1938956,톨스토이 단편선,"9,000원",500원,"톨스토이 저/권희정,김은경 공역",인디북,"세계적 문호 톨스토이의 단편 모음집. 톨스토이의 인생관, 철학이 담겨져 있는 대표 단편작 '사람은 무엇으로 사는가' 외 '바보 이반의 이야기', '사람에겐 얼마만큼의 땅이 필요한가' 등의 작품이 수록되어 있다....",1,국내도서-소설/시/희곡
