순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788925588650,101375809,마션,"17,820원",990원,앤디 위어 저/박아람 역,알에이치코리아(RHK),"SF계를 뒤흔든 대담한 데뷔작,
천재 작가 탄생을 알린 21세기 화성판 로빈슨 크루소
[뉴욕타임스] 74주 연속 베스트셀러
500만 관객이 선택한 맷 데이먼 주연 영화 [마션] 원작 소설

미국 항공우주국(NASA)은 현지 시각으로 2021년 4월 25일, 화성에서의 3차 동력 시험에 성공했다. 인류 역사 이래 화성은, 태양계 행성 중에서도 인간의 끊임없는 관심의 대상으로 우주 탐사의 제1목적지였다. 또한, 일론 머스크와 같은 우주 사업가에게는 새로운 인류 정착지로 여겨졌으며, H. G. 웰스, 레이 브래드버리와 같은 작가들에게는 상상력의 원천이 되었다. 이러한 화성을 배경으로 색다른 조난 소설이 쓰였다면 어떤 이야기를 담고 있을까. 먹을 것은 어떻게 조달하고, 산소조차 희박한 행성 안에서 어떻게 숨 쉴 수 있을까, 무엇보다 화성에 ‘홀로’ 남았다면, 거기에다 그 홀로 남은 사람이 주인공이라면? 이러한 가정을 모두 담아낸 작품이 바로 『마션』이다.",1,국내도서-소설/시/희곡
2,9788925588711,101375832,아르테미스,"17,820원",990원,앤디 위어 저/남명성 역,알에이치코리아(RHK),"기대 이상의 스케일,
데뷔작의 성공을 뛰어넘는 블록버스터
출간 즉시 아마존 베스트셀러 1위
천재작가 앤디 위어의 SF 누아르 스릴러

천재 작가 앤디 위어가 이번에는 지구의 위성 달을 무대로 새 작품을 선보인다. “아르테미스라는 제목 외에는 생각해 본 적 없다”라고 작가 스스로 자부할 만큼 달에 대한 애정을 듬뿍 담은 이 소설은 전작과 마찬가지로 출간하자마자 세간의 이목을 끌며 베스트셀러 1위에 오르는 기염을 토했다. 이 작품의 성공으로 앤디 위어는 명실공히 베스트셀러 작가이자, 흥행 보증 수표로 거듭났다. 전작 『마션』이 화성에서 조난 당한 남성의 생존기였다면 『아르테미스』는 하드보일드 소설의 전형적인 시작으로 이야기의 포문을 연다. 

면적 약 0.5평방킬로미터. 인구 약 2,000여 명. 대부분 관광객이나 억만장자가 거주하는 이 도시에는 다수의 노동자와 범죄자도 공존하고 있다.",1,국내도서-소설/시/희곡
3,9791190090261,91766653,천 개의 파랑,"15,300원",850원,천선란 저,허블,"오늘날 전 세계 독자가 사랑하는 “우리의 가장 따듯한 SF”

천선란 작가는 2019년 장편소설 『무너진 다리』를 출간하며 데뷔했으며, 『천 개의 파랑』으로 제4회 한국과학문학상 장편 대상을 수상하며 본격적으로 작품 활동을 시작했다. 『천 개의 파랑』은 출간 이후 독자와 평단의 주목을 받았는데, 2021년 매일경제·교보문고 〈2021년을 여는 책〉에 선정되었을 뿐만 아니라, 소설가 최진영, 영화감독 민규동, 배우 손수현 등 여러 아티스트들의 찬사를 받으며 전 영역에서 뜨거운 관심을 받았다. 이후 문학뿐 아니라 공연과 영화 분야에서도 주목을 받았는데, 2024년 국립극단과 서울예술단에서 각각 연극과 창작가무극으로 제작되어 무대에 올랐으며, 특히 창작가무극은 관객들의 성원에 힘입어 2025년 재공연되었다. 최근 세계 3대 영화사인 워너 브라더스 픽쳐스와 영화화 판권 계약을 체결하며 스크린 진출을 앞두고 있다. ",1,국내도서-소설/시/희곡
4,9791190090018,74261416,우리가 빛의 속도로 갈 수 없다면,"15,300원",850원,김초엽 저,허블,"오늘날 전 세계 독자가 사랑하는 “우리의 첫 번째 SF”

과학도였던 김초엽 작가는 2017년 「관내분실」로 제2회 한국과학문학상 중단편 대상을, 「우리가 빛의 속도로 갈 수 없다면」으로 가작을 수상하며 작품 활동을 시작했다. 이 두 작품을 수록한 첫 소설집 『우리가 빛의 속도로 갈 수 없다면』은 출간 이후 독자와 평단의 주목을 받았는데, 2019년 제43회 오늘의 작가상 수상, 조선일보·동아일보·문화일보·한겨레·경향신문·시사IN 올해의 책 선정, 예스24·교보문고·알라딘 올해의 책 선정, 대한출판문화협회 올해의 청소년 교양 도서·한국문화예술위원회(아르코) 문학나눔 도서로 선정되었으며, 2020년엔 포항시·구미시·김해시 올해의 책 선정되었을 뿐만 아니라 소설가 정세랑·김연수 등을 비롯해 뮤지션 장기하, 영화감독 김보라 등 여러 아티스트들의 찬사를 받으며 전 영역에서 뜨거운 관심을 받았다.",1,국내도서-소설/시/희곡
5,9788970134796,1442160,은하수를 여행하는 히치하이커를 위한 안내서 1,"12,600원",700원,"더글러스 애덤스 저/김선형,권진아 공역",책세상,"1978년 BBC 라디오 드라마로 시작하여, TV드라마, 책, 음반, 게임 등 온갖 버전으로 확장되며 사랑 받아온 '코믹SF' 장르의 고전. '지구는 어떤 범차원적인 종족이 모든 것에 대한 궁극적인 해답을 얻기 위해 설계한 슈퍼컴퓨터'라는 설정 등 기발한 착상과 유머감각으로 매니아들의 열광적인 사랑을 받아온 시리즈이다. 우주를 배경으로 하는 한 편의 자유분방한 우화. ",2,국내도서-소설/시/희곡
6,9791191824001,103026125,지구 끝의 온실,"16,650원",920원,김초엽 저,자이언트북스,"김초엽 첫 장편소설 20만 부 판매 돌파!

소설집 『우리가 빛의 속도로 갈 수 없다면』을 통해 중국 SF 문학상인 은하상 최우수 작가상을 수상하며 전세계 독자의 열렬한 사랑을 받고 있음을 증명한 김초엽 작가는 첫 장편소설 『지구 끝의 온실』을 통해 더스트로 멸망한 이후의 세계를 보여주었다. 2021년 8월 출간되어 독자를 만나 출간 즉시 베스트셀러로 자리매김했으며, 출간 1년 만에 15만 부가 판매되었고, 출간 3주년을 앞두고 20만 부 판매를 돌파했다. 이외에도 스튜디오드래곤과 영상화 계약을 맺었으며, 일본, 대만 중국, 러시아, 인도네시아, 프랑스 총 6개국과 출간 계약을 체결했다. 일본, 대만, 중국은 각국의 언어로 독자를 만났으며, 이외의 국가에서도 출간될 예정이다.",1,국내도서-소설/시/희곡
7,9788954442688,90926731,삼체 1~3 세트,"60,300원","3,350원","류츠신 저/이현아,허유영 공역",자음과모음,"아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 대표작 『삼체』. 『1부―삼체문제』 『2부―암흑의 숲』 『3부―사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다. 오바마 미국 전 대통령이 “『삼체』를 읽을 때 작품 스케일이 워낙 커서 백악관의 일상사가 사소하게 느껴졌다”(『뉴욕타임스』 인터뷰)라고 평했을 만큼, 『삼체』가 구축하고 있는 세계는 무한한 우주를 향해 끝없이 팽창한다.",1,국내도서-소설/시/희곡
8,9788970135472,182641323,은하수를 여행하는 히치하이커를 위한 안내서 합본,"63,900원","3,550원","더글러스 애덤스 저/김선형,권진아 공역",책세상,"1978년 BBC 라디오 드라마로 시작하여, TV드라마, 책, 음반, 게임 등 온갖 버전으로 확장되며 사랑 받아온 '코믹SF' 장르의 고전. '지구는 어떤 범차원적인 종족이 모든 것에 대한 궁극적인 해답을 얻기 위해 설계한 슈퍼컴퓨터'라는 설정 등 기발한 착상과 유머감각으로 매니아들의 열광적인 사랑을 받아온 시리즈이다.

각자 별난 개성을 자랑하는 다양한 캐릭터들도 재미있다. 엄청나게 높은 지능을 제대로 발휘하지 못하고 있다며 만성 우울증과 편집증에 시달리는 로봇 마빈, 우연한 사고로 불멸의 생명을 얻고 온 우주의 사람들을 모욕하는 것으로 지루함을 견디는 와우배거, 지구가 만들어질 때 노르웨이의 해안을 설계해 상을 받은 경력을 추억하며 우주 종말의 위기를 막는 아르바이트에 매진하고 있는 슬라티바트패스트 등.

작가 더글러스 애덤스는 우주적 상상력과 날카로운 풍자가 빛나는 이 시리즈로 휴고 상, 골든 팬 상 등을 받으며 '코믹 SF'라는 장르를 개척했다는 평가를 받았다. 이번 최종 완결판의 번역 출간으로 우리는 그동안 소문으로만 명성을 확인해야 했던 아쉬움을 털고 '히치하이커' 시리즈의 진면목을 경험하게 될 것이다.
",16,국내도서-소설/시/희곡
9,9791168340947,118399675,저주토끼,"15,120원",840원,정보라 저,래빗홀,"2022년 부커상 인터내셔널 최종 후보 선정작
정보라 소설집 『저주토끼』 전면 개정판 출간

표제작 〈저주토끼〉의 최초 창작 버전 복원
문장과 표현 등 작품 전반에 걸쳐 수정 보완 작업

2022년 한국 소설장에서 최고의 화제작 중 하나였던 소설가 정보라의 호러/SF/판타지 소설집 『저주토끼』가 래빗홀에서 전면 개정판을 선보인다. ‘만두 파동 사건’에서 영감을 받아 쓰인 표제작 〈저주토끼〉는 날카로운 분노를 생생하게 살리고 어디에도 기댈 곳 없는 사람들의 맥락이 선명히 드러나기를 바라는 작가의 뜻을 충실히 반영하여 결말 부분 일부를 최초 창작 버전으로 복원하였다. 또한 수록작 전반에 걸쳐 외국어 표기, 인물 간 대사와 말투, 그리고 일부 혼재되었던 명칭이나 부정확한 표현 등을 수정 보완했다.

정보라의 소설은 ‘예쁘지 않다’. 수록작 10편은 각각 거친, 미친, 기기괴괴한 면면을 가지고 있다.",1,국내도서-소설/시/희곡
10,9788932923048,117188380,수확자,"16,650원",920원,닐 셔스터먼 저/이수현 역,열린책들,"전 세계에 『수확자』 돌풍을 일으킨 최고의 SF 화제작!

북미에서만 200만 부 넘게 팔리며 전 세계에 팬덤을 양산한 『수확자』 시리즈가 드디어 한국에 상륙했다! 전미 도서상 수상 작가이자 전작 『드라이』로 한국 독자의 뜨거운 사랑을 받기도 했던 닐 셔스터먼은 수많은 문학상에 이름을 올릴 뿐 아니라 출간 즉시 폭발적인 호응을 얻는 단골 베스트셀러 소설가다.

슈퍼컴퓨터가 통제하는 죽음이 사라진 완벽한 미래, 컴퓨터의 통제를 받지 않는 건 인구 조절을 위해 생명을 끝낼 임무를 맡은 『수확자』들뿐. 의미 있는 죽음이란 무엇인가? 생명을 끝낼 권리는 누구에게 있어야 하는가? 수확자들은 저마다의 신념을 갖고 살아 있는 사신(死神)이 되어 죽음의 낫을 휘두른다. 

『수확자』 시리즈는 점점 더 폭발적으로 확장되는 거대한 스케일, 매력적인 캐릭터와 화려한 전투 장면, 고도로 발달한 미래 세계의 모습 속에서 삶과 죽음의 의미까지 아우르는 철학적 질문들을 능수능란하게 녹여 낸다.",1,국내도서-소설/시/희곡
11,9791191587524,122771074,파견자들,"17,100원",950원,김초엽 저,퍼블리온,"존재에 대한 섬찟할 만큼 아름다운 시선
김초엽 신작 장편소설 

인간에게 광증을 퍼뜨리는 아포(芽胞)로 가득찬 지상 세계. 사람들은 어둡고 퀴퀴한 지하 도시로 떠밀려와 반쪽짜리 삶을 이어간다. 형편없는 음식에 만족하며, 혹여라도 광증에 걸릴까 두려워하며. 하지만 태린은 누구보다 지상을 갈망한다. 그에게 일렁이는 노을의 황홀한 빛깔과 밤하늘을 가로지르는 별들의 반짝임을 알려준 이가 있었기 때문에. 태린은 스승 이제프처럼 파견자가 되어 그와 나란히 지상에 서고자 한다. 파견자는 지상을 향한 매혹뿐 아니라, 증오까지 함께 품어야 한다는 이제프의 조언을 되새기며. 파견자 최종 시험을 앞둔 어느 날 태린에게 이상한 목소리가 들려오기 시작하고, 태린은 자신이 미친 게 아닐까 두려움에 사로잡히는데…… 이 목소리는 어디서 오는 것일까? 우주로부터 불시착한 먼지들 때문에 낯선 행성으로 변해버린 지구, 그곳을 탐사하고 마침내 놀라운 진실을 목격하는 파견자들의 이야기.",1,국내도서-소설/시/희곡
12,9788970134802,1442161,은하수를 여행하는 히치하이커를 위한 안내서 2,"12,600원",700원,"더글러스 애덤스 저/김선형,권진아 공역",책세상,"1978년 BBC 라디오 드라마로 시작하여, TV드라마, 책, 음반, 게임 등 온갖 버전으로 확장되며 사랑 받아온 '코믹SF' 장르의 고전. '지구는 어떤 범차원적인 종족이 모든 것에 대한 궁극적인 해답을 얻기 위해 설계한 슈퍼컴퓨터'라는 설정 등 기발한 착상과 유머감각으로 매니아들의 열광적인 사랑을 받아온 시리즈이다. 우주를 배경으로 하는 한 편의 자유분방한 우화. ",1,국내도서-소설/시/희곡
13,9791191824216,118597564,이끼숲,"14,220원",790원,천선란 저,자이언트북스,"“구하는 이야기를 써야겠다고 생각했다. 내 이야기는 끝내 구하는 이야기가 된다고 생각하면서도, 조금 더 뚜렷하게 구해야겠다고 생각했다”라는 작가의 말처럼, 『이끼숲』은 누군가의 마음을, 살아 숨쉬는 생명을, 모든 것들이 연결된 이 세계를 구하려는 간절한 바람으로 쓰여졌다.

세 편의 연작소설은 지상이 멸망한 후 지하 도시로 추방된 인류의 미래를 배경으로, 여섯 명의 친구들이 함께하는 사랑과 우정, 모험을 그려낸다. 지하 도시의 인간은 다음 세대, 즉 다시 지상으로 올라갈 세대를 위해 인류 문명을 지속시키는 중간 다리이자 충실한 일꾼에 불과하지만, 여섯 명의 친구들은 그 안에서도 서로 눈을 맞추고, 포옹하며, 손을 맞잡고 숨이 벅차도록 함께 달린다.",1,국내도서-소설/시/희곡
