순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791193358245,123906352,말하고 싶은 비밀,"15,120원",840원,사쿠라 이이요 저/김윤경 역,모모,"누적 부수 65만 부를 돌파한 베스트셀러 『말하고 싶은 비밀』이 2023년 일본에서 영화화되며 다시 한번 뜨거운 관심을 불러일으켰다. 사춘기 시절 특유의 복잡미묘한 관계와 감성을 섬세하고도 다정하게 그려내며 큰 사랑을 받아온 이 책은 지금까지 일본에서 총 4권의 시리즈로 출간되었으며, 그 첫 번째 이야기가 한국에서 처음 출간된다.

고등학교 2학년에 재학 중이며 방송부원으로 활동하는 여고생 구로다 노조미에게 어느 날 날아든 짤막한 러브레터. 보낸 사람은 학교 최고 인기 남 세토야마 준이다. 답장으로 에둘러 거절했지만, 친구부터 시작하자는 당찬 고백에 흔들리게 된 구로다는 세토야마와 쪽지를 주고받기 시작한다. 그러던 중 알게 된 고백의 전말, 세토야마가 고백한 대상이 자신이 아니라는 것.

사실을 바로잡을 타이밍을 놓치고 어쩌다 거짓말을 시작하게 된 구로다는 세토야마에 대해 알아갈수록 점점 좋아하는 감정이 싹튼다.",1,국내도서-소설/시/희곡
2,9791141993849,143574879,파도가 사랑을 말하는 순간에,"15,000원",원,김바다 저,BOOKK(부크크),"아동학대로 동생을 잃은 하람, 사고로 부모를 잃은 우현.
파도의 우연으로 이들의 이야기가 시작된다.
손을 놓으려 해도 놓을 수 없는 사랑. 서로의 구원이 되어주기로 약속한 이들은 구원이 될 수 있을까?

""어렸을 때 아빠가 알려준 미신인데 바다에 뜨는 윤슬 말이야. 파도가 사랑을 말하는 순간에 뜨는 거래. 낭만적이지. 파도가 사랑을 말하는 표현법이 이 세상 모든 사람이 볼 수 있는 반짝임이라는 게.""
""파도가 엄청난 사랑에 빠졌나 보다.""

아물지 않은 서로의 상처를 보듬어주는 가슴 아픈 사랑이야기.

2026 1월 『파도가 사랑을 말하는 순간에』 [개정판 ]출간 예정.",1,국내도서-소설/시/희곡
3,9791130651606,126159296,미 비포 유,"16,200원",900원,조조 모예스 저/김선형 역,다산책방,"전 세계 3,000만 독자에게
지울 수 없는 후유증을 남긴 신드롬의 시작!
『미 비포 유』 전면 개정

 가디언 100대 베스트셀러 
 국내 서점 13주 연속 종합 1위 
 『미 비포 유』 전 세계 1500만 부 판매 
 아마존, 가디언, 뉴욕타임스 선정 최고의 소설 
 BTS 지민 추천 “내 인생의 가치관을 바꾼 책”
  에밀리아 클라크 & 샘 클라플린 주연 영화 원작

시작은 2013년 영국이었다. 『미 비포 유』는 입소문만으로 베스트셀러가 되었고, 독서 클럽과 SNS, 언론에서 이 책을 주제로 토론을 벌이는 등 화제를 모았다. 이후 출간된 독일에서는 엄청난 판매량을 기록하며 아마존 1위를 차지했다. 스웨덴에서는 마들렌 공주가 신혼여행에서 읽은 책으로 유명해졌다. 국내에는 2014년 1월에 출간되었는데 처음 소개되는 작가의 책임에도 불구하고 출간된 해에 바로 종합 베스트셀러 1위에 올랐다. ",1,국내도서-소설/시/희곡
4,9791192579450,117945784,나와 너의 365일,"13,950원",770원,유이하 저/김지연 역,모모,"유난히 벚꽃이 희던 새 학기 첫날, 열일곱 생일을 맞은 평범한 소년 소야는 특별반에서 일반반으로 내려온 옆자리 소녀 히나를 만나고 첫눈에 반한다. 하지만 히나와의 설레는 하루 끝에 소야를 기다리고 있던 건 집 앞 우편함 속 블랙 레터. 색채를 하나씩 잃어가다 결국 죽음에 이르는 무채병을 통보하는 편지였다. 엎친 데 덮친 격으로 다음 날 교실에서 우연히 편지를 주운 히나에게 비밀을 들켜버린 소야. 두렵고 혼란스러운 마음에 남은 1년 동안 사귀어주기라도 할 거냐는 분풀이를 하고 만다. 그런데 그때, 미소를 띤 히나에게서 돌아온 뜻밖의 대답. “넌 왜 나와의 1년을 약속한 걸까?”

일본이 주목한 젊은 작가 유이하의 놀라운 데뷔작 《나와 너의 365일》. 저자가 고등학생 때 쓰기 시작해 대학 시절 완성한 이 작품은 무채병에 걸려 1년밖에 살지 못하는 소년 소야와 그의 옆자리에 앉게 된 전교 1등 소녀 히나의 계약 연애로 시작되는 반전 러브스토리다.",1,국내도서-소설/시/희곡
5,9791193358177,123915061,위시,"15,750원",870원,니컬러스 스파크스 저/박설영 역,모모,"“올겨울, 당신의 소원이 이루어진다!”
〈노트북〉 원작 소설 작가가 선사할 최고의 감동 로맨스

출간 즉시 〈뉴욕타임스〉 베스트셀러 1위에 오르며 전 세계에 다시 한번 ‘스파크스 신드롬’을 일으킨 니컬러스 스파크스의 신작 《위시》가 마침내 한국 독자들을 찾아왔다. 정통 로맨스의 거장이라 불리며 미국의 현대 서정을 가장 탁월한 솜씨로 그려낸다고 평가받는 작가가 데뷔 20주년에 집필한 이 작품은 주인공 매기의 위대한 첫사랑과 기적 같은 만남, 그리고 마지막 크리스마스 소원을 담은 또 다른 걸작이다.

살날이 얼마 남지 않은 유명 여행 사진작가 매기는 우연히 갤러리의 신입 직원 마크에게 수십 년 전 자신의 인생을 바꾼 한 사람과 그해 겨울에 있었던 일을 들려주게 된다. 그렇게 이야기는 2019년의 뉴욕과 1996년의 해변 마을 오크라코크를 오가며 눈부시게 펼쳐지고, 아득하고 선명한 기억 속 순수하고 진실한 러브스토리는 다시 생명을 얻는다.",1,국내도서-소설/시/희곡
6,9791193358825,126406459,노트북,"13,500원",750원,니컬러스 스파크스 저/박설영 역,모모,"★ 전 세계 1억 5백만 부 판매 작가
★ 56주간 〈뉴욕타임스〉 베스트셀러
★ 영화 〈노트북〉 원작 소설
★ 재개봉 희망 멜로 영화 1위

대체 불가능한 레전드 클래식 로맨스 《노트북》
새 번역·새 표지로 한층 더 화려하게 재탄생하다!

출간 즉시 전 세계 수천만 독자를 사로잡으며 현대 로맨스 거장의 탄생을 알린 《노트북》이 마침내 모모에서 전격 재출간됐다. 1998년 국내 첫 출간 이후 약 30년 만에 완전히 새로운 번역과 표지로 재탄생한 전면 개정판이다. 작가가 실화를 바탕으로 집필한 소설로 알려진 이 작품은 주인공 노아와 앨리의 순애보를 애틋한 감성으로 그려내며 독자들의 눈물샘을 뜨겁게 자극했다. 2004년 라이언 고슬링·레이첼 맥아담스 주연의 동명의 영화로 개봉해 멜로의 역사를 다시 쓴 것은 물론, 수십 년이 지난 지금까지 꾸준히 회자되며 복간 요청이 끊이지 않았다.",1,국내도서-소설/시/희곡
7,9791198809902,129603479,말하고 싶은 비밀 Vol.2,"15,120원",840원,사쿠라 이이요 저/김윤경 역,모모,"누적 부수 68만 부 돌파, 동명의 영화 흥행까지 더해져 하이틴 로맨스 분야 베스트셀러로 자리매김한 《말하고 싶은 비밀》이 더 설레는 두 번째 이야기로 돌아왔다. 까칠한 완벽주의 여고생과 자유분방한 훈남 남고생, 정반대의 세계에 살던 두 사람이 또 한 번 ‘교환 일기’로 특별한 교집합을 만들어내는 두 번째 책 《말하고 싶은 비밀 vol.2》는 서툴지만 그래서 더 풋풋하고 애틋한 첫사랑을 세밀하고 사랑스럽게 그려냈다. 

여주인공 에리노는 우연히 주운 노트를 통해 좋아하는 사람에게 고백하려고 노래를 만든다는 한 남자를 알게 된다. 호기심이 일지만, 그 남자가 자신과는 정반대 성향의 세이란 사실을 안 순간 어떻게 해서든 엮이지 말아야겠다고 다짐한다. 그러나 운명의 장난처럼 오히려 세이와 더 가까워지는데…. 

에리노가 고민하고 울고 싶을 때마다 창문에서, 복도에서 불쑥불쑥 튀어나와 때로는 장난으로, 때로는 달콤한 간식으로, 때로는 어른스러운 조언으로 자기만의 위로를 건네는 세이.",1,국내도서-소설/시/희곡
8,9791191193114,101965629,재와 물거품,"11,700원",650원,김청귤 저,안전가옥,"인어는 물거품이 되기를 거부하고
마녀와 사랑에 빠졌습니다

안전가옥 쇼-트 시리즈의 여덟 번째 작품, 김청귤 작가의 경장편 『재와 물거품』은 안전가옥에서 주최한 2019년 여름 원천 스토리 공모전의 수상작이다. 약 1년 6개월 동안 치열한 개작을 거친 이야기는 동화 『인어 공주』 모티프와 퀴어 로맨스의 결합을 통해 우리 사회의 여성들이 바로 지금 겪고 있는 문제들을 짚어 냄으로써 다양한 재미와 의미를 담은 작품으로 완성되었다. 

평생토록 오직 섬마을을 위해 봉사하라는 요구를 받아 왔던 무녀 마리와 섬사람들을 보살피는 존재인 인어 수아는 사랑에 빠질 때마다 각각 재와 물거품이 되어 사라질 위기에 처한다. 두 주인공이 서로의 곁에 조금이라도 더 오래 머무르기 위해 노력하는 과정을 통해 행복의 원천이자 불행의 근원이며, 파멸의 원인이자 변화의 동인이 되는 사랑의 다양한 얼굴을 엿볼 수 있다.",1,국내도서-소설/시/희곡
9,9791194293705,142071377,말하고 싶은 비밀 Vol.3,"15,120원",840원,사쿠라 이이요 저/김윤경 역,모모,,1,국내도서-소설/시/희곡
10,9791193358146,123302305,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을","13,500원",750원,이치조 미사키 저/김윤경 역 ,모모,"『오늘 밤, 세계에서 이 사랑이 사라진다 해도』의 작가,
100만 독자가 선택한 이치조 미사키 월드의 정수!

한국에서만 50만 부 이상 판매되며 데뷔작을 초대형 베스트셀러에 올렸음은 물론 일본에서 제작된 동명의 영화가 우리나라에서 110만 관객을 불러 모으며 일본 로맨스 영화의 역사를 새로 쓴 『오늘 밤, 세계에서 이 사랑이 사라진다 해도』의 작가 이치조 미사키의 신간이 출간되었다. 한없이 다정하고 따뜻한 등장인물, 섬세한 심리 묘사, 깜짝 놀랄 반전, 책장을 덮은 뒤에도 쉽게 가시지 않는 아릿한 여운 등 이 작가의 전매특허라 할 특징이 모두 녹아 있는 신간 『오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을』은 여기서 한 발 더 나아가 풋풋한 사랑, 청춘의 꿈과 우정, 인생에 관한 깊이 있는 통찰까지 담으며 한층 성장한 이치조 미사키 월드의 집대성을 보여준다.

소설은 고등학교 2학년생 쓰키시마 마코토가 시한부 1년을 선고받으며 시작한다.",1,국내도서-소설/시/희곡
