순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791191043754,109308932,세상의 마지막 기차역,"15,120원",840원,무라세 다케시 저/김지연 역,모모,"독자들의 입소문으로 만들어진 초대형 베스트셀러
50만 부 판매 기념 리커버 에디션 전격 출시!

2022년 출간 후 단숨에 외국 소설 분야 1위, 종합 베스트셀러에 오르며 2025년에 이르기까지 누적 판매 부수 50만 부를 기록, 온오프라인 전 서점 스테디셀러로서 수많은 독자의 마음을 울린 《세상의 마지막 기차역》. 

“읽는 내내 눈물이 펑펑 쏟아져서 도저히 한 번에 읽을 수 없다”, “주인공에 이입되어 그리운 사람이 떠올라 가슴이 먹먹해졌다”, “지금 내 곁에 있는 사랑하는 사람의 소중함을 일깨워 주는, 고맙다거나 사랑한다는 낯부끄러운 말도 더 자주 표현해야겠다고 용기를 주는 고마운 책” “다 읽고 나면 흘린 눈물만큼 마음이 단단해진다” 등 독자들 사이에서 크게 입소문이 나며 사랑받아 왔다.",1,국내도서-소설/시/희곡
2,9788982735738,338451,눈물을 마시는 새 세트,"59,400원","3,300원",이영도 저,황금가지,"『눈물을 마시는 새』는 『드래곤 라자 』『퓨처워커』등으로 입증된 그의 작가적 역량이 총동원된 작품이다. 나가, 레콘, 도깨비, 인간 등 넷으로 구분된 색다른 종족들은 세계를 정복하기 위해 끊임없는 투쟁을 벌이지만, 절대적인 힘을 갖지 못한 까닭에 그 어떤 종족도 이 세계를 완벽하게 장악하지는 못한다. 이러한 요소들이 작품의 스토리와 결합돼 새로운 반전들을 일으킨다. 작가가 창조한 (작품) 언어와 생활방식, 종족들의 특성 등이 돋보인다.",1,국내도서-소설/시/희곡
3,9791193790403,136727687,해리 포터와 마법사의 돌 1,"11,250원",620원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",1,국내도서-소설/시/희곡
4,9791193790410,136727765,해리 포터와 마법사의 돌 2,"11,250원",620원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",2,국내도서-소설/시/희곡
5,9791190174756,89913383,"칵테일, 러브, 좀비","11,700원",650원,조예은 저,안전가옥,"안전가옥 쇼-트 시리즈의 두 번째 책으로, 조예은 작가의 단편집이다. 안전가옥 오리지널 시리즈의 첫 책 『뉴서울파크 젤리장수 대학살』에서 탄탄한 구성의 호러 스릴러를 선보였던 작가의 연출력은 단편집에서 더욱 다양한 색채로 빛을 발한다. 미묘하지만 분명한 폭력을 감내해 왔던 여성 빌런의 탄생을 그린 「초대」, 물귀신과 숲귀신 사이의 사랑스러운 이끌림을 담은 「습지의 사랑」, 블랙 유머를 통해 가부장제의 이면을 들여다보는 오컬트 좀비물 「칵테일, 러브, 좀비」, 제2회 황금가지 타임리프 공모전에서 우수상을 차지한 「오버랩 나이프, 나이프」 등 네 작품을 수록하였다.",1,국내도서-소설/시/희곡
6,9791165341909,91065309,달러구트 꿈 백화점,"12,420원",690원,이미예 저,팩토리나인,"잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 ‘달러구트의 꿈 백화점’이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다. 범상치 않은 혈통의 주인장 ‘달러구트’, 그리고 그의 최측근에서 일하게 된 신참 직원 ‘페니’, 꿈을 만드는 제작자 ‘아가넵 코코’, 그리고 베일에 둘러싸인 비고 마이어스…등이 등장한다. 『달러구트 꿈 백화점』은 ‘무의식에서만 존재하는 꿈을 정말 사고 팔 수 있을까?’라는 기발한 질문에 답을 찾아가며, 꿈을 만드는 사람, 파는 사람, 사는 사람의 비밀스런 에피소드를 담고 있는 판타지 소설이다. 텀블벅 펀딩 1812% 달성, 전자책 출간 즉시 베스트셀러 1위를 3주간 기록하며 수많은 독자들의 요청으로 종이책으로 출간하게 되었다.",1,국내도서-소설/시/희곡
7,9791193790434,136727885,해리 포터와 비밀의 방 2,"11,250원",620원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",1,국내도서-소설/시/희곡
8,9791193790427,136727823,해리 포터와 비밀의 방 1,"11,250원",620원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",1,국내도서-소설/시/희곡
9,9788936431556,146647035,일억 번째 여름,"14,400원",800원,청예 저,창비,"“내 선택은 늘 하나였다. 너를 지키는 일.”
한국문학을 이끌 젊은 작가 청예가 선보이는
지극하고도 간절한 사랑과 구원의 이야기

한국과학문학상, 교보문고 스토리 공모, K-스토리 공모 등 각종 공모를 휩쓸고 예스24 '한국문학의 미래가 될 젊은 작가'에 선정된 청예의 신작 장편소설 『일억 번째 여름』(소설Y)이 출간되었다. 『오렌지와 빵칼』 『낭만 사랑니』 등 도발적인 시선과 독특한 문장으로 주목받은 청예는 이번 작품에서 처음으로 곡진한 사랑 이야기를 펼쳐 보인다. 무더운 여름만이 반복되는 세계에서 멸망을 막기 위해 함께하는 이들은 과연 불안과 공포를 이겨 내고 새로운 계절을 맞이할 수 있을까? 서로를 구하기 위해 기꺼이 온 삶을 내던지는 모습이 깊은 울림을 전하는 가운데, 잔혹한 운명 속에서 피어나는 애달픈 사랑이 진한 잔상을 남긴다.

★ 청춘과 사랑, 어떤 시대에도 절대 시들지 않는 것을 느끼게 한다. 천선란(소설가)
★ 그렇다.",1,국내도서-소설/시/희곡
10,9791191061987,114332220,인어 사냥,"13,500원",750원,차인표 저 ,해결책,"K-문학의 새로운 발견, 
낯선 이야기꾼 차인표 작가의 한국형 뉴 판타지 시리즈 첫 작품!
신묘한 힘을 가진 인어 기름을 차지하기 위한 인간들의 흥미진진하고 치열한 대결

『인어 사냥』은 먹으면 천 년을 산다는 인어 기름을 차지하기 위한, 인간의 민낯을 드러내는 근원적 욕망에 관한 이야기다. 오랜 시간 인간과 역사, 구전 설화에 깊이 천착해 온 작가는 우리나라의 정서를 담은 우리의 지명과 옛이야기를 바탕으로 새로운 한국형 판타지아를 구축하고자 했다. 이와 관련해 수년간 자료를 수집해 오다가 강원도 통천 지역의 지금은 사라진 독도 강치에서 인어에 대한 영감을 얻어 그간의 아이디어와 기록을 발전시켜 그만의 신비롭고 독특한 이야기로 완성했다. 

1902년, 강원도 통천 인근의 외딴섬. 어부 박덕무가 아내와 두 아이와 함께 가난하고 힘겹지만 따스한 정을 나누며 살아간다.",1,국내도서-소설/시/희곡
11,9788934967316,106375449,전지적 독자 시점 PART 1 - 01,"12,150원",670원,싱숑 저,비채,"토털 2억 뷰 + α! 웹소설의 현재 진행형 레전드
마침내 단행본으로 만나는 『전지적 독자 시점』

‘문피아’ 누적 판매 1위, ‘네이버 시리즈’ 누적 다운로드 1억, 웹툰화 즉시 ‘네이버 웹툰’ 1위 등극, ‘리얼라이즈픽처스’와 영화화 계약… 2018년 연재 시작 이후 지금까지, 행보 하나하나가 곧 한국 웹소설의 역사가 되고 있는 『전지적 독자 시점』. 역사부터 신화까지 인류가 지금껏 쌓아온 ‘이야기’를 자유롭게 아우르는 스토리텔링, 저마다 다채로운 색채로 매력을 뽐내는 등장인물, 시공간을 넘어 우주까지 확장되는 압도적 세계관으로 이미 수많은 ‘앓이’를 양산해온 이 전설적 작품이 연재 종료 2년여 만에 드디어 단행본으로 서점을 찾는다. 

싱숑 작가는 원고지 약 25000매, 글자 수로는 약 300만 자에 달하는 장대한 서사를 전량 개고해 작품을 다시금 세공해냈다.",1,국내도서-소설/시/희곡
12,9791193790441,136727962,해리 포터와 아즈카반의 죄수 1,"11,700원",650원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",1,국내도서-소설/시/희곡
13,9791193790458,136728027,해리 포터와 아즈카반의 죄수 2,"11,700원",650원,J.K 롤링 저/강동혁 역,문학수첩,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!
‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!

1997년 영국에서 출간된 이래 《해리 포터》 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 《해리 포터와 마법사의 돌》의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 

뿐만 아니라 《해리 포터》 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다.",1,국내도서-소설/시/희곡
14,9788934967323,106375475,전지적 독자 시점 PART 1 - 02,"12,150원",670원,싱숑 저,비채,"토털 2억 뷰 + α! 웹소설의 현재 진행형 레전드
마침내 단행본으로 만나는 『전지적 독자 시점』

‘문피아’ 누적 판매 1위, ‘네이버 시리즈’ 누적 다운로드 1억, 웹툰화 즉시 ‘네이버 웹툰’ 1위 등극, ‘리얼라이즈픽처스’와 영화화 계약… 2018년 연재 시작 이후 지금까지, 행보 하나하나가 곧 한국 웹소설의 역사가 되고 있는 『전지적 독자 시점』. 역사부터 신화까지 인류가 지금껏 쌓아온 ‘이야기’를 자유롭게 아우르는 스토리텔링, 저마다 다채로운 색채로 매력을 뽐내는 등장인물, 시공간을 넘어 우주까지 확장되는 압도적 세계관으로 이미 수많은 ‘앓이’를 양산해온 이 전설적 작품이 연재 종료 2년여 만에 드디어 단행본으로 서점을 찾는다. 

싱숑 작가는 원고지 약 25000매, 글자 수로는 약 300만 자에 달하는 장대한 서사를 전량 개고해 작품을 다시금 세공해냈다. 이번 ‘PART 1(전 8권)’은 전체 이야기 중 약 1/3에 해당하는 분량으로, ‘전독시’의 세계를 종이를 통해 오롯이 느낄 수 있도록 손에 잡기 쉬운 판형과 두께로 제작된 ‘페이퍼백 에디션’이다. 아울러 2022년 여름에는 ‘페이퍼백 에디션 PART 2-3’과 소장성에 집중한 ‘하드커버 에디션 PART 1’도 연이어 선보일 예정. 9개 이상 언어로 번역 및 수출되는 등 이미 국내를 넘어 세계를 매혹하고 있는 ‘멸살법’의 세계로 빠져볼 시간이다. 

“싱숑의 『전지적 독자 시점』과, 독자분들의 『전지적 독자 시점』은 어쩌면 같은 이야기가 아닐 것입니다. 각자 이 이야기의 몇 조각쯤을 품고 어렴풋이 상대가 가진 조각의 생김새를 짐작해볼 뿐이겠지요. 아무래도 좋습니다.”
_‘작가의 말’에서",1,국내도서-소설/시/희곡
